spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+compact+iso,0.0,55,maxEv,8,309.2,18577,3
gbm+offset+iso,0.0,55,maxEv,8,307.6,20202,3
price+compact+iso,0.01,55,mostBooks,8,307.3,15102,3
price+box+gbm,0.04,55,maxEv,8,306.1,9261,3
compact+iso,0.0,55,maxEv,8,303.5,19143,2
box+iso,0.01,55,mostBooks,8,303.5,18338,2
box+gbm+offset,0.01,55,maxEv,8,303.4,18515,3
box+gbm+iso,0.0,55,mostBooks,8,301.7,20332,3
compact+box+gbm,0.02,55,mostBooks,8,300.7,15203,3
compact+box+iso,0.01,55,maxEv,8,300.0,16974,3
gbm+iso,0.01,55,maxEv,8,297.2,18136,2
price+box+gbm,0.04,55,mostBooks,8,297.1,9259,3
gbm+offset,0.0,55,maxEv,8,296.5,21255,2
gbm+iso,0.0,55,mostBooks,8,296.5,20433,2
box+gbm,0.0,55,maxEv,8,295.4,21445,2
compact+offset+iso,0.01,55,maxEv,8,295.4,16860,3
box+gbm+offset,0.0,55,mostBooks,8,293.7,21024,3
price+compact+iso,0.0,55,mostBooks,8,290.7,18576,3
compact+box+offset,0.02,55,maxEv,8,289.8,14992,3
gbm+offset+iso,0.04,60,maxEv,8,289.6,7990,3
box,0.0,60,maxEv,8,285.3,15257,1
gbm+iso,0.01,55,mostBooks,8,285.0,18136,2
box+gbm+offset,0.01,55,mostBooks,8,284.5,18514,3
price+compact+gbm,0.02,55,maxEv,8,283.2,13403,3
gbm+offset+iso,0.0,55,mostBooks,8,282.4,20204,3
box+gbm,0.01,55,maxEv,8,281.4,18942,2
gbm+offset,0.01,55,maxEv,8,280.4,18762,2
price+box+iso,0.0,55,maxEv,8,277.8,19239,3
compact+iso,0.04,55,maxEv,8,275.6,9820,2
compact+box,0.0,55,maxEv,8,274.8,20464,2
price+box+gbm,0.0,55,maxEv,8,274.8,20478,3
compact+box+offset,0.02,55,mostBooks,8,274.3,14990,3
box+offset+iso,0.02,55,maxEv,8,274.0,16025,3
gbm+offset+iso,0.01,60,maxEv,8,273.4,12630,3
box+offset+iso,0.02,60,maxEv,8,273.0,11201,3
gbm+offset,0.0,55,mostBooks,8,272.8,21255,2
box,0.0,60,mostBooks,8,271.3,15254,1
box+gbm,0.0,55,mostBooks,8,271.3,21444,2
compact+offset,0.02,55,maxEv,8,268.8,14287,2
gbm+offset,0.02,55,maxEv,8,267.0,16421,2
price+gbm+offset,0.0,55,maxEv,8,265.5,20332,3
compact+offset,0.02,55,mostBooks,8,264.8,14284,2
box+offset+iso,0.02,55,mostBooks,8,264.5,16024,3
box+gbm,0.01,55,mostBooks,8,264.4,18940,2
compact+iso,0.04,55,mostBooks,8,264.1,9819,2
gbm+offset,0.01,55,mostBooks,8,263.2,18761,2
price+box+iso,0.0,55,mostBooks,8,262.7,19240,3
price+compact+gbm,0.02,55,mostBooks,8,261.7,13402,3
compact+box,0.02,55,maxEv,8,261.4,14524,2
box+gbm+iso,0.01,60,maxEv,8,260.5,12699,3
box+offset+iso,0.02,60,mostBooks,8,259.5,11201,3
compact+box,0.0,55,mostBooks,8,257.7,20460,2
price+box+iso,0.01,55,maxEv,8,257.3,16214,3
box+offset,0.0,60,maxEv,8,257.2,15094,2
offset,0.0,60,maxEv,8,257.0,14972,1
box+gbm,0.02,55,mostBooks,8,256.8,16638,2
gbm+offset,0.02,55,mostBooks,8,256.7,16420,2
box,0.01,60,maxEv,8,256.4,13338,1
price+gbm+offset,0.0,55,mostBooks,8,256.1,20330,3
compact+box,0.02,55,mostBooks,8,254.2,14521,2
price+compact+box,0.02,55,maxEv,8,251.8,12638,3
box+offset,0.01,60,maxEv,8,251.5,13166,2
price+box+iso,0.01,55,mostBooks,8,244.7,16214,3
box+offset,0.0,60,mostBooks,8,239.5,15091,2
price+compact+offset,0.0,55,maxEv,8,239.3,20336,3
box,0.01,60,mostBooks,8,239.1,13336,1
offset,0.0,60,mostBooks,8,235.9,14969,1
price+compact+box,0.02,55,mostBooks,8,235.7,12635,3
box+offset,0.01,60,mostBooks,8,232.2,13164,2
compact+offset+iso,0.04,55,maxEv,8,222.2,10235,3
compact+offset+iso,0.04,55,mostBooks,8,215.3,10235,3
iso,0.02,60,maxEv,8,213.7,12505,1
iso,0.02,60,mostBooks,8,212.6,12504,1
compact+box+offset,0.04,55,maxEv,8,211.7,10583,3
compact+box+iso,0.04,55,maxEv,8,211.2,10342,3
compact+box+iso,0.04,55,mostBooks,8,203.3,10342,3
compact+box+offset,0.04,55,mostBooks,8,199.4,10581,3
offset,0.04,55,mostBooks,8,186.2,12244,1
price+box+iso,0.02,55,mostBooks,8,163.4,13511,3
price+box+iso,0.04,55,maxEv,8,144.3,8976,3
price+box+offset,0.02,55,mostBooks,8,142.7,13985,3
price+box+iso,0.04,55,mostBooks,8,135.6,8975,3
compact+offset,0.04,0,maxEv,7,1242.8,26035,2
compact+box+offset,0.02,0,maxEv,7,1181.3,38957,3
price+offset,0.02,0,mostBooks,7,1177.0,36450,2
compact+offset,0.04,0,mostBooks,7,1166.6,26031,2
offset,0.02,0,maxEv,7,1162.8,41145,1
price+offset,0.02,0,maxEv,7,1156.2,36453,2
offset,0.01,0,maxEv,7,1145.4,46692,1
compact+box+offset,0.02,0,mostBooks,7,1136.7,38956,3
price+box+offset,0.02,0,maxEv,7,1131.2,37937,3
price+box,0.02,0,mostBooks,7,1123.5,36461,2
price+compact+box,0.02,0,maxEv,7,1115.3,36210,3
price+box+offset,0.02,0,mostBooks,7,1110.6,37935,3
price+box,0.02,0,maxEv,7,1106.8,36461,2
box+offset,0.02,0,maxEv,7,1101.9,41057,2
offset,0.01,0,mostBooks,7,1093.0,46694,1
compact+offset,0.02,0,maxEv,7,1090.9,38077,2
box+offset,0.01,0,mostBooks,7,1081.0,46663,2
compact+box,0.02,0,maxEv,7,1077.4,38156,2
price+compact+offset,0.02,0,maxEv,7,1075.1,36203,3
price+compact+offset,0.01,0,maxEv,7,1071.2,45288,3
compact+box+offset,0.04,0,maxEv,7,1063.5,27577,3
box+offset,0.02,0,mostBooks,7,1060.1,41058,2
price+compact+box,0.02,0,mostBooks,7,1049.5,36206,3
compact+offset,0.02,0,mostBooks,7,1045.1,38073,2
price+compact+box,0.01,0,maxEv,7,1042.3,45413,3
box,0.04,0,maxEv,7,1029.4,30952,1
price+compact+offset,0.01,0,mostBooks,7,1023.8,45282,3
price+compact+offset,0.02,0,mostBooks,7,1019.4,36199,3
compact+box,0.02,0,mostBooks,7,1017.3,38152,2
offset,0.04,0,mostBooks,7,1004.8,31097,1
price+box,0.01,0,mostBooks,7,1001.8,45526,2
box,0.04,0,mostBooks,7,996.5,30950,1
price+box,0.01,0,maxEv,7,994.5,45530,2
compact+offset,0.01,0,maxEv,7,975.9,44995,2
price+compact+box,0.01,0,mostBooks,7,975.8,45407,3
box+offset,0.0,0,maxEv,7,948.4,52501,2
price+offset,0.04,0,mostBooks,7,945.3,21176,2
box+offset+iso,0.01,0,maxEv,7,944.1,47376,3
price+box,0.04,0,mostBooks,7,942.5,21025,2
box,0.0,0,maxEv,7,941.4,52550,1
box+gbm+offset,0.04,0,mostBooks,7,933.1,31801,3
price+offset,0.04,0,maxEv,7,929.5,21180,2
box+gbm+offset,0.01,0,mostBooks,7,929.3,48156,3
price+gbm+offset,0.04,0,mostBooks,7,923.2,26808,3
price+box,0.04,0,maxEv,7,922.8,21028,2
price+box+gbm,0.04,0,maxEv,7,916.3,26810,3
compact+offset,0.01,0,mostBooks,7,916.2,44990,2
box+offset+iso,0.01,0,mostBooks,7,911.9,47379,3
compact+box,0.01,0,mostBooks,7,905.6,45059,2
box+gbm+offset,0.02,0,mostBooks,7,905.0,42436,3
offset,0.0,0,maxEv,7,900.0,52528,1
price+offset,0.0,0,maxEv,7,888.7,54269,2
price+offset,0.0,0,mostBooks,7,874.5,54266,2
box,0.0,0,mostBooks,7,871.0,52549,1
box+offset+iso,0.04,0,mostBooks,7,869.1,31648,3
box+offset,0.0,0,mostBooks,7,865.7,52503,2
price+gbm+iso,0.02,0,mostBooks,7,853.4,39952,3
price+box+offset,0.0,0,maxEv,7,844.8,52584,3
compact+gbm+offset,0.01,0,maxEv,7,843.5,47369,3
price+gbm+iso,0.02,0,maxEv,7,826.0,39949,3
price+box+offset,0.0,0,mostBooks,7,823.6,52582,3
compact+offset+iso,0.02,0,mostBooks,7,818.3,39391,3
offset,0.0,0,mostBooks,7,808.8,52528,1
box+iso,0.02,0,mostBooks,7,766.4,42787,2
price+gbm+iso,0.04,0,mostBooks,7,763.2,27615,3
compact+offset+iso,0.04,0,maxEv,7,762.9,28250,3
compact+offset+iso,0.04,0,mostBooks,7,753.9,28250,3
price+offset+iso,0.0,0,maxEv,7,746.7,51886,3
price+gbm+iso,0.04,0,maxEv,7,743.3,27614,3
box+iso,0.02,0,maxEv,7,736.8,42782,2
price+box+iso,0.0,0,mostBooks,7,734.7,51890,3
box+offset+iso,0.0,0,mostBooks,7,731.5,53076,3
compact+iso,0.04,0,maxEv,7,728.7,28101,2
price+offset+iso,0.0,0,mostBooks,7,726.2,51888,3
box+iso,0.04,0,maxEv,7,721.2,32712,2
box+iso,0.01,0,mostBooks,7,700.2,48194,2
price+gbm+iso,0.01,0,maxEv,7,677.7,46751,3
offset+iso,0.01,0,mostBooks,7,674.9,48213,2
price+gbm+offset,0.0,0,maxEv,7,671.7,54498,3
price+gbm+iso,0.0,0,maxEv,7,669.9,53597,3
price+compact+iso,0.02,0,maxEv,7,669.1,36035,3
price+compact+iso,0.02,0,mostBooks,7,663.8,36035,3
compact+iso,0.02,0,maxEv,7,655.2,39264,2
price+compact+iso,0.01,0,mostBooks,7,655.1,44188,3
price+compact+iso,0.01,0,maxEv,7,648.1,44190,3
price+compact+iso,0.04,0,maxEv,7,644.2,22128,3
gbm+offset+iso,0.0,0,mostBooks,7,643.5,54386,3
offset+iso,0.02,0,mostBooks,7,643.1,42793,2
price+box+gbm,0.0,0,maxEv,7,631.9,54603,3
box+gbm+iso,0.0,0,mostBooks,7,628.4,54375,3
gbm+offset,0.0,0,maxEv,7,618.9,55150,2
price+compact+iso,0.0,0,mostBooks,7,603.4,52433,3
compact+gbm+offset,0.0,0,maxEv,7,560.3,53782,3
price+iso,0.04,0,maxEv,7,551.2,24508,2
price+iso,0.01,0,mostBooks,7,544.6,44577,2
compact+box+gbm,0.0,0,maxEv,7,541.8,53878,3
compact+iso,0.01,0,mostBooks,7,536.3,45541,2
price+iso,0.0,0,mostBooks,7,508.4,52025,2
price+iso,0.02,0,mostBooks,7,496.6,37208,2
