spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+gbm,0.0,60,maxEv,4,-23.7,11979,2
price+offset+iso,0.0,60,mostBooks,4,-23.7,10488,3
price+compact+gbm,0.0,60,maxEv,4,-31.2,11157,3
price+compact+gbm,0.0,60,mostBooks,4,-32.7,11157,3
compact+box+gbm,0.0,60,maxEv,4,-35.4,13061,3
compact+box+iso,0.0,60,mostBooks,4,-35.4,12047,3
compact+gbm+offset,0.0,60,maxEv,4,-36.9,12987,3
box+iso,0.02,60,maxEv,4,-37.9,9382,2
compact+box+gbm,0.0,60,mostBooks,4,-38.1,13060,3
compact+gbm+offset,0.0,60,mostBooks,4,-38.3,12986,3
price+gbm+iso,0.0,60,mostBooks,4,-41.8,10867,3
price+gbm+iso,0.0,60,maxEv,4,-41.9,10867,3
box+iso,0.02,60,mostBooks,4,-46.1,9382,2
box+gbm+offset,0.0,60,maxEv,4,-48.1,14041,3
box+gbm+offset,0.0,60,mostBooks,4,-52.4,14040,3
gbm+iso,0.01,60,maxEv,4,-55.6,11750,2
gbm+offset+iso,0.0,60,maxEv,4,-55.8,12866,3
compact+gbm+iso,0.0,60,mostBooks,4,-57.1,11910,3
compact+gbm+iso,0.0,60,maxEv,4,-57.2,11910,3
gbm+offset+iso,0.0,60,mostBooks,4,-63.2,12866,3
price+box+iso,0.0,60,maxEv,4,-65.8,10577,3
gbm+iso,0.01,60,mostBooks,4,-66.3,11750,2
gbm+offset,0.0,60,maxEv,4,-67.9,14410,2
gbm+offset,0.0,60,mostBooks,4,-70.3,14409,2
price+box+iso,0.0,60,mostBooks,4,-73.1,10577,3
compact+box+offset,0.0,60,maxEv,4,-89.4,13033,3
compact+box+offset,0.0,60,mostBooks,4,-112.1,13032,3
compact+iso,0.0,60,mostBooks,4,-113.4,11561,2
offset,0.04,60,mostBooks,4,-115.8,6764,1
offset,0.04,60,maxEv,4,-116.7,6765,1
box+offset,0.0,60,maxEv,4,-168.4,14283,2
