market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,under,120269,-9.24,-14.62,1866,11.56,7.32,215.7,PASS,1915,10.95,PASS,755,11.3,2025-08-08,1111,62.11,11.74,6.64,6.06,130.4,776,PASS,graded n=1111 >= 500 and ROI 11.74% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,under,96439,-12.06,-15.31,1574,0.1,-3.95,1.5,PASS,1638,-0.05,FAIL,1090,1.49,2025-09-06,484,60.12,-3.05,-10.08,-10.93,-14.8,320,FAIL,graded n=484 < 500 and ROI CI lower bound -10.08% <= 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_pass,under,8299,-4.11,0.0,580,-1.42,-9.26,-8.2,FAIL,772,-2.36,FAIL,353,0.36,2025-08-27,227,49.78,-4.18,-16.7,-16.7,-9.5,227,FAIL,graded n=227 < 500 and ROI CI lower bound -16.70% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,gbm,0.04,60,mostBooks,ev_pass,both,7457,-2.84,-0.3,2463,-0.3,-3.4,-7.4,FAIL,3455,-0.31,FAIL,1076,1.93,2025-08-25,1387,61.86,-2.03,-6.17,-6.17,-28.2,1387,FAIL,graded n=1387 >= 500 but ROI -2.03% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,both,116642,-10.4,3.87,3860,4.46,1.83,172.3,PASS,4024,4.41,PASS,2497,3.81,2025-08-31,1363,62.58,5.67,1.2,0.77,77.2,765,PASS,graded n=1363 >= 500 and ROI 5.67% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,gbm,,gbm,0.04,60,mostBooks,ev_filtered,both,59338,-15.88,0.0,27,-18.9,-47.99,-5.1,FAIL,29,-24.49,FAIL,13,-4.69,2025-05-24,14,42.86,-32.1,-76.87,-76.87,-4.5,14,FAIL,graded n=14 < 500 and ROI CI lower bound -76.87% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,both,24291,-5.82,0.0,1936,2.68,-0.99,51.9,PASS,2158,1.38,PASS,1051,2.95,2025-08-25,885,60.23,2.36,-3.5,-2.85,20.9,772,PASS,graded n=885 >= 500 and ROI 2.36% > 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,price,price,gbm,0.04,60,mostBooks,ev_pass,over,5956,-0.54,-7.15,762,-7.15,-12.78,-54.5,FAIL,796,-7.58,FAIL,465,-5.05,2025-08-29,297,57.24,-10.44,-19.03,-19.03,-31.0,297,FAIL,graded n=297 < 500 and ROI CI lower bound -19.03% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,under,53348,-12.32,-3.68,5212,0.26,-1.96,13.6,PASS,5436,0.11,PASS,3270,-0.61,2025-04-19,1942,62.05,1.72,-1.96,-2.24,33.4,676,PASS,graded n=1942 >= 500 and ROI 1.72% > 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,gbm,,gbm,0.04,60,mostBooks,ev_filtered,both,9821,-4.02,2.53,1727,3.0,-1.31,51.7,PASS,1843,2.19,PASS,978,2.58,2026-04-01,749,60.21,3.53,-2.32,-2.62,26.5,653,PASS,graded n=749 >= 500 and ROI 3.53% > 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,,gbm,0.04,60,mostBooks,ev_filtered,under,27835,-12.13,-0.39,1386,4.91,0.57,68.1,PASS,1438,4.97,PASS,801,6.53,2024-06-19,585,62.05,2.69,-3.92,-3.19,15.7,315,PASS,graded n=585 >= 500 and ROI 2.69% > 0%
