spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
box+gbm+offset,0.01,55,mostBooks,8,337.4,18439,3
compact+offset,0.04,55,maxEv,8,337.0,9451,2
box+gbm,0.02,60,maxEv,8,336.8,11377,2
box+gbm,0.04,60,maxEv,8,335.8,8254,2
price+gbm,0.02,55,maxEv,8,331.0,13919,2
box+gbm,0.0,55,maxEv,8,330.1,21154,2
price+box+gbm,0.04,55,mostBooks,8,329.3,9091,3
box+gbm,0.04,60,mostBooks,8,326.3,8252,2
compact+offset,0.04,55,mostBooks,8,325.5,9449,2
box+gbm,0.02,60,mostBooks,8,325.4,11375,2
gbm+offset,0.04,60,maxEv,8,316.9,8116,2
box+gbm,0.0,55,mostBooks,8,314.8,21151,2
gbm+offset,0.0,55,maxEv,8,312.4,20900,2
price+gbm,0.02,55,mostBooks,8,311.9,13917,2
price+gbm,0.01,55,maxEv,8,311.8,16873,2
gbm+offset,0.04,60,mostBooks,8,307.8,8113,2
gbm+iso,0.04,60,mostBooks,8,306.8,8693,2
gbm+offset,0.02,60,maxEv,8,306.7,11214,2
compact+gbm+offset,0.02,60,mostBooks,8,302.0,10169,3
gbm+offset,0.0,55,mostBooks,8,300.1,20897,2
gbm+iso,0.02,60,maxEv,8,299.9,11404,2
compact+offset,0.02,55,mostBooks,8,299.7,14179,2
compact+box,0.04,55,maxEv,8,298.3,9712,2
price+gbm,0.0,55,maxEv,8,297.2,20145,2
gbm,0.02,60,mostBooks,8,296.2,13587,1
gbm+offset,0.02,60,mostBooks,8,295.9,11211,2
compact+iso,0.02,55,mostBooks,8,295.8,14761,2
gbm+offset,0.01,60,maxEv,8,293.2,13072,2
compact+iso,0.01,55,mostBooks,8,290.7,17359,2
compact+iso,0.01,55,maxEv,8,290.0,17358,2
gbm+iso,0.02,60,mostBooks,8,289.5,11405,2
compact+iso,0.02,55,maxEv,8,289.3,14761,2
compact+box+offset,0.04,55,maxEv,8,287.3,10388,3
gbm+iso,0.0,60,maxEv,8,286.8,14654,2
box+gbm,0.01,60,mostBooks,8,286.7,13246,2
gbm+iso,0.01,60,maxEv,8,284.1,12966,2
iso,0.02,55,maxEv,8,283.4,18294,1
gbm+offset,0.01,60,mostBooks,8,281.6,13069,2
compact+box,0.04,55,mostBooks,8,280.7,9709,2
price+compact+gbm,0.0,55,maxEv,8,279.9,20271,3
gbm+iso,0.0,60,mostBooks,8,275.9,14655,2
compact+offset+iso,0.02,55,mostBooks,8,275.3,14885,3
gbm+iso,0.01,60,mostBooks,8,274.4,12967,2
iso,0.04,55,mostBooks,8,271.4,14701,1
iso,0.04,55,maxEv,8,264.0,14700,1
compact+iso,0.0,55,maxEv,8,263.6,20101,2
compact+box+offset,0.02,55,maxEv,8,254.7,14919,3
compact+iso,0.0,55,mostBooks,8,253.9,20103,2
compact+box+offset,0.01,55,maxEv,8,252.1,17708,3
iso,0.01,55,mostBooks,8,251.8,20572,1
compact+box+offset,0.02,55,mostBooks,8,245.4,14918,3
iso,0.0,55,mostBooks,8,244.5,22718,1
compact+box+offset,0.01,55,mostBooks,8,243.4,17707,3
offset+iso,0.04,55,mostBooks,8,241.9,12603,2
box+iso,0.04,55,mostBooks,8,240.5,12820,2
iso,0.01,55,maxEv,8,239.4,20571,1
