market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
h2h,board SELECT half,632,59.97,3.8,-3.14,-3.14,24.0,632,PASS,graded n=632 >= 500 and ROI 3.80% > 0%
h2h,board VERDICT half,482,53.53,-7.1,-14.78,-14.78,-34.2,482,FAIL,graded n=482 < 500 and ROI CI lower bound -14.78% <= 0%
batter_runs_scored,"base (every candidate, flat)",31012,37.27,-11.52,-12.81,-13.28,-3573.6,1589,FAIL,graded n=31012 >= 500 but ROI -11.52% <= 0%
batter_runs_scored,price-only (full OOS),1357,55.12,-0.55,-5.55,-5.84,-7.5,562,FAIL,graded n=1357 >= 500 but ROI -0.55% <= 0%
batter_runs_scored,board (full OOS),3185,60.13,2.7,-0.36,-0.83,85.9,705,PASS,graded n=3185 >= 500 and ROI 2.70% > 0%
batter_runs_scored,all-lines (full OOS),3384,59.9,2.22,-0.75,-1.4,75.1,705,PASS,graded n=3384 >= 500 and ROI 2.22% > 0%
batter_runs_scored,board SELECT half,2242,60.26,3.3,-0.27,-0.79,74.1,455,PASS,graded n=2242 >= 500 and ROI 3.30% > 0%
batter_runs_scored,board VERDICT half,943,59.81,1.25,-4.08,-5.64,11.8,250,PASS,graded n=943 >= 500 and ROI 1.25% > 0%
pitcher_outs,"base (every candidate, flat)",6686,50.81,-3.44,-5.67,-6.27,-230.1,2996,FAIL,graded n=6686 >= 500 but ROI -3.44% <= 0%
pitcher_outs,price-only (full OOS),318,60.38,1.21,-7.66,-7.92,3.8,289,FAIL,graded n=318 < 500 and ROI CI lower bound -7.66% <= 0%
pitcher_outs,board (full OOS),1223,57.81,3.46,-1.72,-1.58,42.3,1049,PASS,graded n=1223 >= 500 and ROI 3.46% > 0%
pitcher_outs,all-lines (full OOS),1332,57.06,2.25,-2.66,-2.8,30.0,1049,PASS,graded n=1332 >= 500 and ROI 2.25% > 0%
pitcher_outs,board SELECT half,778,58.23,4.85,-1.78,-1.49,37.7,647,PASS,graded n=778 >= 500 and ROI 4.85% > 0%
pitcher_outs,board VERDICT half,445,57.08,1.03,-7.67,-7.37,4.6,402,FAIL,graded n=445 < 500 and ROI CI lower bound -7.67% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),596,57.38,-1.58,-8.39,-8.26,-9.4,277,FAIL,graded n=596 >= 500 but ROI -1.58% <= 0%
batter_strikeouts,board (full OOS),1410,63.26,7.45,3.24,3.1,105.0,683,PASS,graded n=1410 >= 500 and ROI 7.45% > 0%
batter_strikeouts,all-lines (full OOS),1452,63.29,7.5,3.34,3.41,108.9,683,PASS,graded n=1452 >= 500 and ROI 7.50% > 0%
batter_strikeouts,board SELECT half,936,64.32,9.28,3.82,3.84,86.8,396,PASS,graded n=936 >= 500 and ROI 9.28% > 0%
batter_strikeouts,board VERDICT half,474,61.18,3.83,-3.85,-3.02,18.1,287,FAIL,graded n=474 < 500 and ROI CI lower bound -3.85% <= 0%
