arm,innerCut,market,spec,nMembers,tau,collapse,side,aN,aUnits,aPass,bN,bRoi,bUnits
off,0.5,batter_hits,price+offset,2,0.01,maxEv,both,138,1.56,0,105,7.707,8.09
off,0.6,batter_hits,price+offset,2,0.01,maxEv,both,154,-0.11,0,89,10.964,9.76
off,0.7,batter_hits,price+offset,2,0.01,maxEv,both,168,-1.25,0,75,14.543,10.91
off,0.5,batter_hits,price+offset,2,0.02,maxEv,both,105,4.81,0,69,13.785,9.51
off,0.6,batter_hits,price+offset,2,0.02,maxEv,both,113,6.43,0,61,12.931,7.89
off,0.7,batter_hits,price+offset,2,0.02,maxEv,both,120,6.05,0,54,15.32,8.27
off,0.5,batter_hits,price+offset,2,0.04,maxEv,both,43,-4.87,0,30,2.874,0.86
off,0.6,batter_hits,price+offset,2,0.04,maxEv,both,47,-3.94,0,26,-0.25,-0.07
off,0.7,batter_hits,price+offset,2,0.04,maxEv,both,49,-4.17,0,24,0.69,0.17
off,0.5,batter_hits,price+offset,2,0.0,mostBooks,both,174,4.07,0,140,7.719,10.81
off,0.6,batter_hits,price+offset,2,0.0,mostBooks,both,198,-0.86,0,116,13.568,15.74
off,0.7,batter_hits,price+offset,2,0.0,mostBooks,both,217,0.98,0,97,14.323,13.89
off,0.5,batter_hits,price+offset,2,0.01,mostBooks,both,138,1.45,0,105,7.707,8.09
off,0.6,batter_hits,price+offset,2,0.01,mostBooks,both,154,-0.22,0,89,10.964,9.76
off,0.7,batter_hits,price+offset,2,0.01,mostBooks,both,168,-1.37,0,75,14.543,10.91
off,0.5,batter_hits,price+offset,2,0.02,mostBooks,both,105,4.81,0,69,13.785,9.51
off,0.6,batter_hits,price+offset,2,0.02,mostBooks,both,113,6.43,0,61,12.931,7.89
off,0.7,batter_hits,price+offset,2,0.02,mostBooks,both,120,6.05,0,54,15.32,8.27
off,0.5,batter_hits,price+offset,2,0.04,mostBooks,both,43,-4.87,0,30,2.874,0.86
off,0.6,batter_hits,price+offset,2,0.04,mostBooks,both,47,-3.94,0,26,-0.25,-0.07
off,0.7,batter_hits,price+offset,2,0.04,mostBooks,both,49,-4.17,0,24,0.69,0.17
on,0.5,batter_hits,price+offset,2,0.0,maxEv,both,210,4.59,0,75,1.897,1.42
on,0.6,batter_hits,price+offset,2,0.0,maxEv,both,228,2.46,0,57,6.225,3.55
on,0.7,batter_hits,price+offset,2,0.0,maxEv,both,241,0.77,0,44,11.904,5.24
on,0.5,batter_hits,price+offset,2,0.01,maxEv,both,180,2.27,0,61,7.117,4.34
on,0.6,batter_hits,price+offset,2,0.01,maxEv,both,193,3.6,0,48,6.265,3.01
on,0.7,batter_hits,price+offset,2,0.01,maxEv,both,197,1.37,0,44,11.904,5.24
