spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+compact+gbm,0.01,55,maxEv,8,356.6,16711,3
price+box+gbm,0.02,55,mostBooks,8,354.8,13974,3
gbm+iso,0.01,60,mostBooks,8,354.3,12970,2
gbm,0.04,60,mostBooks,8,353.4,10916,1
price+compact+gbm,0.01,55,mostBooks,8,350.0,16708,3
price+gbm+offset,0.02,55,mostBooks,8,349.5,13792,3
price+gbm,0.02,55,maxEv,8,321.7,13962,2
price+gbm+offset,0.04,55,maxEv,8,318.3,9036,3
price+gbm+offset,0.04,55,mostBooks,8,309.5,9034,3
price+gbm,0.01,55,maxEv,8,308.6,16893,2
price+gbm,0.02,55,mostBooks,8,306.2,13961,2
price+box+gbm,0.04,55,maxEv,8,305.7,9183,3
compact+gbm+offset,0.02,60,mostBooks,8,305.6,10207,3
compact+offset,0.04,55,mostBooks,8,302.2,9921,2
price+box+gbm,0.04,55,mostBooks,8,298.2,9181,3
compact+gbm,0.0,55,mostBooks,8,296.3,20640,2
compact+box+gbm,0.02,60,mostBooks,8,295.8,10306,3
compact+offset,0.04,55,maxEv,8,295.5,9923,2
compact+box,0.04,55,mostBooks,8,295.2,10135,2
price+gbm,0.01,55,mostBooks,8,293.2,16892,2
compact+box,0.04,55,maxEv,8,292.2,10137,2
compact+iso,0.04,55,mostBooks,8,286.8,10533,2
compact+box+offset,0.02,55,mostBooks,8,279.4,15014,3
compact+iso,0.01,55,mostBooks,8,267.2,17365,2
box+iso,0.04,55,mostBooks,8,227.8,12725,2
box+offset+iso,0.01,55,maxEv,8,226.6,18682,3
box+offset+iso,0.01,55,mostBooks,8,218.8,18681,3
box+offset+iso,0.0,55,mostBooks,8,204.6,21199,3
box+offset+iso,0.02,55,mostBooks,8,203.8,16314,3
iso,0.02,55,mostBooks,8,202.9,17997,1
price+box+iso,0.0,55,mostBooks,8,198.8,19669,3
price+iso,0.02,55,mostBooks,8,187.5,12930,2
price+iso,0.02,55,maxEv,8,184.0,12931,2
offset,0.04,55,mostBooks,8,176.4,11894,1
price+iso,0.0,55,mostBooks,8,173.1,19000,2
price+iso,0.0,55,maxEv,8,172.8,19000,2
offset,0.04,55,maxEv,8,170.5,11896,1
offset,0.0,55,mostBooks,8,167.7,21010,1
box+offset,0.04,55,mostBooks,8,162.4,12091,2
box,0.04,55,mostBooks,8,156.4,12291,1
price+iso,0.01,55,mostBooks,8,136.8,15880,2
price+iso,0.01,55,maxEv,8,135.1,15881,2
iso,0.0,55,mostBooks,8,134.9,22390,1
price+box+gbm,0.02,0,mostBooks,7,1083.7,39442,3
compact+offset,0.04,0,mostBooks,7,1069.9,26759,2
price+compact+offset,0.04,0,maxEv,7,1054.8,21634,3
compact+gbm+offset,0.04,0,mostBooks,7,1047.2,29272,3
price+compact+offset,0.04,0,mostBooks,7,1041.4,21631,3
compact,0.01,0,maxEv,7,1035.1,44196,1
compact+gbm+iso,0.02,0,maxEv,7,1022.9,40777,3
price+offset,0.02,0,mostBooks,7,1012.1,36492,2
price+compact+box,0.04,0,maxEv,7,1011.7,21726,3
price+offset,0.02,0,maxEv,7,1005.4,36492,2
price+compact+box,0.04,0,mostBooks,7,1001.2,21723,3
gbm+offset,0.04,0,mostBooks,7,997.5,32988,2
price+offset,0.01,0,maxEv,7,992.2,45147,2
compact,0.02,0,maxEv,7,984.8,37068,1
compact+box,0.04,0,mostBooks,7,983.2,26857,2
price+box,0.02,0,mostBooks,7,981.2,36520,2
price+box,0.02,0,maxEv,7,977.9,36521,2
compact+gbm+iso,0.04,0,maxEv,7,973.8,30117,3
compact+iso,0.04,0,maxEv,7,969.7,28916,2
compact+gbm+iso,0.04,0,mostBooks,7,947.0,30119,3
box+gbm,0.04,0,mostBooks,7,936.3,33049,2
price+offset,0.04,0,mostBooks,7,930.5,21525,2
price+offset,0.04,0,maxEv,7,922.8,21527,2
price+compact+iso,0.04,0,mostBooks,7,919.8,22979,3
compact,0.02,0,mostBooks,7,918.8,37066,1
price+gbm+offset,0.01,0,mostBooks,7,915.9,46578,3
price+compact+iso,0.02,0,maxEv,7,913.7,36366,3
compact+iso,0.04,0,mostBooks,7,907.9,28915,2
price+compact,0.02,0,maxEv,7,890.5,34574,2
price+offset+iso,0.02,0,maxEv,7,890.5,38308,3
compact+offset+iso,0.04,0,maxEv,7,885.5,28857,3
compact+gbm+iso,0.01,0,maxEv,7,884.3,46769,3
price+offset+iso,0.02,0,mostBooks,7,874.3,38307,3
price+box,0.04,0,maxEv,7,871.6,21660,2
price+box,0.04,0,mostBooks,7,866.5,21658,2
price+offset,0.0,0,mostBooks,7,862.0,53625,2
price+box,0.0,0,mostBooks,7,844.0,53897,2
price+offset+iso,0.04,0,mostBooks,7,836.8,26073,3
price+box+iso,0.02,0,mostBooks,7,820.4,38378,3
price+box+gbm,0.0,0,mostBooks,7,817.0,53633,3
price+box+iso,0.02,0,maxEv,7,811.2,38379,3
compact+iso,0.02,0,mostBooks,7,806.0,39616,2
price+iso,0.04,0,mostBooks,7,803.8,24770,2
price+box+iso,0.04,0,maxEv,7,803.8,26164,3
price+iso,0.04,0,maxEv,7,803.1,24770,2
price+gbm+offset,0.0,0,mostBooks,7,784.4,53573,3
price+gbm+iso,0.04,0,mostBooks,7,784.0,27693,3
gbm+offset,0.01,0,mostBooks,7,769.1,48593,2
price+gbm+offset,0.0,0,maxEv,7,745.7,53562,3
gbm+iso,0.04,0,maxEv,7,700.4,34995,2
compact,0.0,0,maxEv,7,687.8,51520,1
compact+gbm+iso,0.0,0,maxEv,7,686.2,52808,3
price+compact,0.0,0,maxEv,7,681.8,56708,2
compact+gbm+iso,0.0,0,mostBooks,7,672.3,52813,3
compact,0.0,0,mostBooks,7,610.5,51519,1
price+compact,0.0,0,mostBooks,7,603.0,56702,2
compact+gbm,0.02,55,maxEv,7,455.5,15514,2
compact+box+gbm,0.04,55,mostBooks,7,455.3,10718,3
compact+gbm+offset,0.04,55,mostBooks,7,454.1,10597,3
compact+gbm+offset,0.02,55,mostBooks,7,454.0,14973,3
gbm,0.04,55,mostBooks,7,449.3,15200,1
compact+box+gbm,0.02,55,mostBooks,7,426.6,15105,3
gbm,0.01,55,mostBooks,7,417.7,20715,1
gbm+offset,0.02,55,maxEv,7,412.0,16199,2
gbm+offset,0.01,55,mostBooks,7,411.7,18511,2
compact+gbm,0.01,55,maxEv,7,405.4,18034,2
gbm+offset,0.02,55,mostBooks,7,404.2,16197,2
compact+gbm+offset,0.01,55,mostBooks,7,403.1,17626,3
box+gbm,0.04,55,mostBooks,7,396.4,12468,2
box+gbm+offset,0.01,55,mostBooks,7,390.6,18388,3
box+gbm+offset,0.01,55,maxEv,7,389.7,18390,3
