spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+iso,0.01,60,mostBooks,6,252.2,11770,3
box+gbm+iso,0.0,60,mostBooks,6,249.9,14402,3
compact+gbm+offset,0.01,60,maxEv,6,247.5,12251,3
box+gbm+offset,0.01,60,mostBooks,6,247.4,12846,3
compact+gbm+offset,0.01,60,mostBooks,6,245.5,12250,3
compact+box+offset,0.0,60,maxEv,6,210.9,14345,3
box+gbm+offset,0.0,60,mostBooks,6,207.3,14823,3
box+gbm+offset,0.0,60,maxEv,6,204.1,14825,3
compact+offset,0.02,60,mostBooks,6,178.5,9652,2
compact+offset,0.02,60,maxEv,6,175.5,9654,2
compact+box+iso,0.0,60,mostBooks,6,167.1,13821,3
price+box+offset,0.01,60,mostBooks,6,166.2,11075,3
price+box+offset,0.01,60,maxEv,6,161.2,11078,3
price+offset+iso,0.0,60,mostBooks,6,153.8,13178,3
compact+offset,0.04,60,mostBooks,6,151.3,6022,2
compact+box,0.04,60,mostBooks,6,149.8,6404,2
price+offset+iso,0.0,60,maxEv,6,148.2,13180,3
compact+offset,0.04,60,maxEv,6,147.0,6024,2
compact+offset+iso,0.01,60,maxEv,6,146.1,11637,3
compact+offset+iso,0.01,60,mostBooks,6,144.1,11635,3
price+offset,0.01,60,mostBooks,6,139.5,10148,2
price+offset,0.01,60,maxEv,6,139.4,10150,2
offset+iso,0.04,60,mostBooks,6,132.0,7996,2
box+iso,0.04,60,mostBooks,6,129.9,8098,2
price+box+offset,0.02,60,mostBooks,6,125.7,8735,3
box+offset+iso,0.04,60,maxEv,6,123.4,8011,3
box+offset,0.02,60,maxEv,6,117.8,11119,2
box+offset+iso,0.01,60,mostBooks,6,111.7,12891,3
box+offset,0.02,60,mostBooks,6,111.1,11117,2
box+offset+iso,0.01,60,maxEv,6,110.2,12893,3
box+offset,0.01,60,maxEv,6,105.1,13058,2
iso,0.01,60,mostBooks,6,104.8,13993,1
compact+box+iso,0.04,60,mostBooks,6,101.1,6606,3
iso,0.01,60,maxEv,6,100.9,13993,1
compact+box+iso,0.04,60,maxEv,6,100.5,6608,3
box+offset,0.01,60,mostBooks,6,98.9,13055,2
offset,0.02,60,maxEv,6,97.0,11001,1
box,0.01,60,maxEv,6,95.8,13202,1
offset,0.02,60,mostBooks,6,93.6,10999,1
box,0.01,60,mostBooks,6,93.2,13199,1
