arm,innerCut,market,spec,tau,collapse,side,bothN,aN,keepFrac,bN,bRoi,bUnits,bGatePass
B:guard0.50,0.5,batter_total_bases,gbm,0.02,maxEv,,1829,1829,1.0,2184,0.24,5.25,1
A:unguarded,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
B:guard0.25,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
B:guard0.40,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
B:guard0.50,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
A:unguarded,0.7,batter_total_bases,gbm,0.02,mostBooks,,2813,2813,1.0,1200,1.376,16.52,1
B:guard0.25,0.7,batter_total_bases,gbm,0.02,mostBooks,,2813,2813,1.0,1200,1.376,16.52,1
B:guard0.40,0.7,batter_total_bases,gbm,0.02,mostBooks,,2813,2813,1.0,1200,1.376,16.52,1
B:guard0.50,0.7,batter_total_bases,gbm,0.02,mostBooks,,2813,2813,1.0,1200,1.376,16.52,1
A:unguarded,0.5,batter_home_runs,gbm,0.02,maxEv,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.25,0.5,batter_home_runs,gbm,0.02,maxEv,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.40,0.5,batter_home_runs,gbm,0.02,maxEv,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.50,0.5,batter_home_runs,gbm,0.02,maxEv,both,11,11,1.0,3,-49.123,-1.47,0
A:unguarded,0.6,batter_home_runs,gbm,0.02,mostBooks,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.25,0.6,batter_home_runs,gbm,0.02,mostBooks,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.40,0.6,batter_home_runs,gbm,0.02,mostBooks,both,11,11,1.0,3,-49.123,-1.47,0
B:guard0.50,0.6,batter_home_runs,gbm,0.02,mostBooks,both,11,11,1.0,3,-49.123,-1.47,0
A:unguarded,0.7,batter_home_runs,gbm,0.02,mostBooks,both,12,12,1.0,2,-23.684,-0.47,0
B:guard0.25,0.7,batter_home_runs,gbm,0.02,mostBooks,both,12,12,1.0,2,-23.684,-0.47,0
B:guard0.40,0.7,batter_home_runs,gbm,0.02,mostBooks,both,12,12,1.0,2,-23.684,-0.47,0
B:guard0.50,0.7,batter_home_runs,gbm,0.02,mostBooks,both,12,12,1.0,2,-23.684,-0.47,0
A:unguarded,0.5,pitcher_strikeouts,gbm,0.02,maxEv,under,685,374,0.546,189,-1.176,-2.22,0
B:guard0.25,0.5,pitcher_strikeouts,gbm,0.02,maxEv,under,685,374,0.546,189,-1.176,-2.22,0
B:guard0.40,0.5,pitcher_strikeouts,gbm,0.02,maxEv,under,685,374,0.546,189,-1.176,-2.22,0
B:guard0.50,0.5,pitcher_strikeouts,gbm,0.02,maxEv,under,685,374,0.546,189,-1.176,-2.22,0
A:unguarded,0.6,pitcher_strikeouts,gbm,0.02,mostBooks,,792,792,1.0,456,-1.742,-7.94,0
B:guard0.25,0.6,pitcher_strikeouts,gbm,0.02,mostBooks,,792,792,1.0,456,-1.742,-7.94,0
B:guard0.40,0.6,pitcher_strikeouts,gbm,0.02,mostBooks,,792,792,1.0,456,-1.742,-7.94,0
B:guard0.50,0.6,pitcher_strikeouts,gbm,0.02,mostBooks,,792,792,1.0,456,-1.742,-7.94,0
A:unguarded,0.7,pitcher_strikeouts,gbm,0.02,mostBooks,,923,923,1.0,325,-0.981,-3.19,0
B:guard0.25,0.7,pitcher_strikeouts,gbm,0.02,mostBooks,,923,923,1.0,325,-0.981,-3.19,0
B:guard0.40,0.7,pitcher_strikeouts,gbm,0.02,mostBooks,,923,923,1.0,325,-0.981,-3.19,0
B:guard0.50,0.7,pitcher_strikeouts,gbm,0.02,mostBooks,,923,923,1.0,325,-0.981,-3.19,0
A:unguarded,0.5,h2h,gbm,0.02,maxEv,,479,479,1.0,406,2.541,10.31,0
B:guard0.25,0.5,h2h,gbm,0.02,maxEv,,479,479,1.0,406,2.541,10.31,0
B:guard0.40,0.5,h2h,gbm,0.02,maxEv,,479,479,1.0,406,2.541,10.31,0
B:guard0.50,0.5,h2h,gbm,0.02,maxEv,,479,479,1.0,406,2.541,10.31,0
A:unguarded,0.6,h2h,gbm,0.02,mostBooks,,554,554,1.0,331,5.357,17.73,0
B:guard0.25,0.6,h2h,gbm,0.02,mostBooks,,554,554,1.0,331,5.357,17.73,0
B:guard0.40,0.6,h2h,gbm,0.02,mostBooks,,554,554,1.0,331,5.357,17.73,0
B:guard0.50,0.6,h2h,gbm,0.02,mostBooks,,554,554,1.0,331,5.357,17.73,0
A:unguarded,0.7,h2h,gbm,0.02,mostBooks,,641,641,1.0,244,7.31,17.84,0
B:guard0.25,0.7,h2h,gbm,0.02,mostBooks,,641,641,1.0,244,7.31,17.84,0
B:guard0.40,0.7,h2h,gbm,0.02,mostBooks,,641,641,1.0,244,7.31,17.84,0
B:guard0.50,0.7,h2h,gbm,0.02,mostBooks,,641,641,1.0,244,7.31,17.84,0
A:unguarded,0.5,batter_runs_scored,gbm,0.02,maxEv,,2525,2525,1.0,1881,-3.568,-67.12,0
B:guard0.25,0.5,batter_runs_scored,gbm,0.02,maxEv,,2525,2525,1.0,1881,-3.568,-67.12,0
B:guard0.40,0.5,batter_runs_scored,gbm,0.02,maxEv,,2525,2525,1.0,1881,-3.568,-67.12,0
B:guard0.50,0.5,batter_runs_scored,gbm,0.02,maxEv,,2525,2525,1.0,1881,-3.568,-67.12,0
