market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_filtered,under,94209,-9.68,8.02,1076,7.36,2.46,79.2,PASS,1116,6.59,PASS,400,6.59,2025-05-19,676,63.17,7.82,1.47,1.28,52.9,492,PASS,graded n=676 >= 500 and ROI 7.82% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_filtered,both,71864,-12.86,-2.49,1999,4.23,0.87,84.6,PASS,2114,3.88,PASS,1283,5.14,2025-06-18,716,63.83,2.61,-3.0,-3.03,18.7,413,PASS,graded n=716 >= 500 and ROI 2.61% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_pass,both,6259,-5.71,-100.0,365,3.2,-5.85,11.7,FAIL,482,2.03,FAIL,262,4.58,2025-06-08,103,52.43,-0.32,-18.41,-18.41,-0.3,103,FAIL,graded n=103 < 500 and ROI CI lower bound -18.41% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_pass,over,5685,-2.64,2.07,903,5.25,0.45,47.4,PASS,999,4.15,PASS,455,8.64,2025-06-10,448,62.95,1.81,-5.22,-5.22,8.1,448,FAIL,graded n=448 < 500 and ROI CI lower bound -5.22% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_filtered,under,88372,-11.06,0.1,5064,1.42,-0.75,72.1,PASS,5282,1.54,PASS,2571,1.06,2025-06-15,2493,61.89,1.8,-1.38,-1.44,44.8,1025,PASS,graded n=2493 >= 500 and ROI 1.80% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,box+gbm+iso,0.02,60,maxEv,ev_filtered,both,57013,-16.07,3.87,19,-26.61,-59.58,-5.1,FAIL,22,-29.68,FAIL,6,2.11,2025-05-11,13,38.46,-39.87,-76.52,-76.52,-5.2,13,FAIL,graded n=13 < 500 and ROI CI lower bound -76.52% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,box+gbm+iso,0.02,60,maxEv,ev_filtered,over,19447,-4.94,0.0,910,3.87,-1.42,35.2,PASS,1089,4.39,PASS,459,6.15,2025-06-30,451,60.98,1.56,-6.01,-6.07,7.0,415,FAIL,graded n=451 < 500 and ROI CI lower bound -6.01% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_pass,over,4504,-0.16,-6.48,706,-1.0,-7.42,-7.1,FAIL,787,-0.95,FAIL,453,0.4,2025-06-14,253,59.29,-3.52,-13.31,-13.31,-8.9,253,FAIL,graded n=253 < 500 and ROI CI lower bound -13.31% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,box+gbm+iso,0.02,60,maxEv,ev_filtered,under,31012,-11.52,1.78,3768,0.92,-1.67,34.6,PASS,3993,0.96,PASS,2561,3.39,2024-06-28,1207,58.74,-4.32,-9.03,-10.18,-52.1,333,FAIL,graded n=1207 >= 500 but ROI -4.32% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,box+gbm+iso,0.02,60,maxEv,ev_filtered,over,6686,-3.44,-0.27,456,5.39,-1.92,24.6,FAIL,463,4.82,FAIL,271,6.8,2025-07-07,185,61.08,3.34,-8.99,-8.22,6.2,170,FAIL,graded n=185 < 500 and ROI CI lower bound -8.99% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,box+gbm+iso,0.02,60,maxEv,ev_filtered,under,27835,-12.13,2.75,1419,4.82,0.56,68.4,PASS,1459,4.95,PASS,875,7.75,2024-06-19,544,61.03,0.11,-6.28,-6.66,0.6,312,PASS,graded n=544 >= 500 and ROI 0.11% > 0%
