market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,120269,-9.24,-14.62,1491,13.08,8.52,195.0,PASS,1523,12.47,PASS,588,5.06,2025-08-08,903,67.0,18.31,12.68,12.35,165.3,666,PASS,graded n=903 >= 500 and ROI 18.31% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,96439,-12.06,-15.33,1670,0.07,-3.5,1.2,PASS,1728,0.41,PASS,1151,0.34,2025-09-06,519,61.46,-0.54,-7.1,-7.58,-2.8,343,FAIL,graded n=519 >= 500 but ROI -0.54% <= 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_pass,over,8299,-4.11,0.0,597,5.4,-2.14,32.2,PASS,844,3.11,PASS,334,2.32,2025-08-27,263,56.65,9.32,-1.85,-1.85,24.5,263,FAIL,graded n=263 < 500 and ROI CI lower bound -1.85% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,gbm,0.04,60,maxEv,ev_pass,both,7457,-2.84,-0.8,2463,-0.8,-3.96,-19.6,FAIL,3455,-0.31,FAIL,1076,1.92,2025-08-25,1387,61.43,-2.91,-6.82,-6.82,-40.3,1387,FAIL,graded n=1387 >= 500 but ROI -2.91% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,116642,-10.4,3.87,3528,2.62,-0.16,92.5,PASS,3669,2.76,PASS,2152,1.91,2025-08-31,1376,61.85,3.74,-0.64,-0.78,51.5,733,PASS,graded n=1376 >= 500 and ROI 3.74% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,59338,-15.88,0.0,29,-13.97,-41.48,-4.1,FAIL,31,-19.52,FAIL,12,3.25,2025-05-24,17,47.06,-26.12,-63.13,-63.13,-4.4,17,FAIL,graded n=17 < 500 and ROI CI lower bound -63.13% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,24291,-5.82,0.0,2086,2.14,-1.65,44.7,PASS,2338,1.86,PASS,1097,3.23,2025-08-25,989,58.95,0.94,-4.41,-4.43,9.3,861,PASS,graded n=989 >= 500 and ROI 0.94% > 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_pass,over,5956,-0.54,-7.12,1177,-0.43,-4.97,-5.0,FAIL,1279,0.27,PASS,686,3.07,2025-08-29,491,57.64,-5.31,-12.33,-12.33,-26.1,491,FAIL,graded n=491 < 500 and ROI CI lower bound -12.33% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,53348,-12.32,-3.68,5102,1.79,-0.42,91.1,PASS,5336,1.64,PASS,3235,1.05,2025-04-19,1867,62.67,3.07,-0.43,-0.96,57.3,641,PASS,graded n=1867 >= 500 and ROI 3.07% > 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,9821,-4.02,2.53,1664,3.56,-0.63,59.2,PASS,1780,2.87,PASS,1010,2.8,2026-04-01,654,60.55,4.74,-1.53,-1.77,31.0,574,PASS,graded n=654 >= 500 and ROI 4.74% > 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,compact,compact,gbm,0.04,60,maxEv,ev_filtered,under,27835,-12.13,-0.39,1053,9.55,4.94,100.5,PASS,1080,9.39,PASS,755,12.48,2024-06-19,298,62.08,2.11,-6.45,-6.17,6.3,175,FAIL,graded n=298 < 500 and ROI CI lower bound -6.45% <= 0%
