market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_runs_scored,board SELECT half,3017,60.72,1.58,-1.29,-1.88,47.8,510,PASS,graded n=3017 >= 500 and ROI 1.58% > 0%
batter_runs_scored,board VERDICT half,1459,58.81,-2.46,-6.63,-7.96,-35.9,352,FAIL,graded n=1459 >= 500 but ROI -2.46% <= 0%
pitcher_outs,"base (every candidate, flat)",6686,50.81,-6.37,-8.49,-9.13,-426.0,2996,FAIL,graded n=6686 >= 500 but ROI -6.37% <= 0%
pitcher_outs,price-only (full OOS),269,59.48,-6.99,-16.19,-16.35,-18.8,245,FAIL,graded n=269 < 500 and ROI CI lower bound -16.19% <= 0%
pitcher_outs,board (full OOS),823,60.27,3.03,-2.82,-2.6,25.0,721,PASS,graded n=823 >= 500 and ROI 3.03% > 0%
pitcher_outs,all-lines (full OOS),871,59.82,2.47,-3.42,-3.32,21.5,721,PASS,graded n=871 >= 500 and ROI 2.47% > 0%
pitcher_outs,board SELECT half,583,59.86,3.26,-3.54,-3.59,19.0,502,PASS,graded n=583 >= 500 and ROI 3.26% > 0%
pitcher_outs,board VERDICT half,240,61.25,2.48,-7.53,-7.59,6.0,219,FAIL,graded n=240 < 500 and ROI CI lower bound -7.53% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.49,-13.56,-13.73,-3475.2,1439,FAIL,graded n=27835 >= 500 but ROI -12.49% <= 0%
batter_strikeouts,price-only (full OOS),2528,60.64,1.33,-1.86,-1.84,33.7,762,PASS,graded n=2528 >= 500 and ROI 1.33% > 0%
batter_strikeouts,board (full OOS),1954,64.74,8.0,4.33,4.55,156.3,845,PASS,graded n=1954 >= 500 and ROI 8.00% > 0%
batter_strikeouts,all-lines (full OOS),2031,64.75,8.0,4.74,4.71,162.5,845,PASS,graded n=2031 >= 500 and ROI 8.00% > 0%
batter_strikeouts,board SELECT half,1130,65.66,9.68,5.09,4.62,109.3,449,PASS,graded n=1130 >= 500 and ROI 9.68% > 0%
batter_strikeouts,board VERDICT half,824,63.47,5.7,-0.08,0.61,47.0,397,PASS,graded n=824 >= 500 and ROI 5.70% > 0%
