spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+iso,0.04,0,maxEv,6,651.7,20526,3
compact+offset,0.01,0,maxEv,6,650.6,32137,2
price+gbm+offset,0.02,0,mostBooks,6,647.2,27240,3
compact+box+iso,0.01,0,maxEv,6,646.8,33277,3
gbm+offset+iso,0.02,0,maxEv,6,645.5,31433,3
compact,0.04,0,mostBooks,6,644.9,15143,1
price+gbm+offset,0.01,0,maxEv,6,644.9,33443,3
price+box,0.02,0,mostBooks,6,639.6,22806,2
compact+gbm+iso,0.04,0,mostBooks,6,638.9,20523,3
price+compact+offset,0.0,0,maxEv,6,638.6,37765,3
price+offset+iso,0.02,0,maxEv,6,638.2,26009,3
compact+gbm+iso,0.01,0,maxEv,6,637.5,33899,3
price+offset,0.02,0,mostBooks,6,630.2,22711,2
compact+box+gbm,0.02,0,mostBooks,6,629.4,28899,3
price+box+iso,0.02,0,maxEv,6,626.6,26049,3
compact+iso,0.02,0,maxEv,6,625.8,27397,2
gbm+offset,0.04,0,maxEv,6,625.7,23837,2
compact+offset,0.0,0,maxEv,6,623.4,38514,2
compact+box+gbm,0.01,0,maxEv,6,619.8,34259,3
compact+offset+iso,0.01,0,mostBooks,6,617.6,32984,3
price+offset,0.0,0,maxEv,6,613.5,38588,2
compact+box,0.01,0,maxEv,6,613.5,32207,2
box+offset+iso,0.04,0,maxEv,6,611.9,22981,3
gbm+offset+iso,0.04,0,maxEv,6,609.5,23359,3
price+gbm+offset,0.01,0,mostBooks,6,603.7,33448,3
compact+box,0.0,0,maxEv,6,601.1,38560,2
gbm+offset,0.04,0,mostBooks,6,601.1,23837,2
gbm+offset,0.02,0,maxEv,6,600.5,31944,2
price+box+iso,0.01,0,maxEv,6,599.5,31953,3
price+box+iso,0.04,0,maxEv,6,594.9,17102,3
price+offset+iso,0.01,0,maxEv,6,594.8,31942,3
compact+gbm+offset,0.0,0,maxEv,6,593.4,39908,3
compact+gbm+iso,0.01,0,mostBooks,6,590.4,33899,3
price+gbm+offset,0.04,0,maxEv,6,587.6,17557,3
price+offset+iso,0.02,0,mostBooks,6,587.2,26008,3
box+gbm+iso,0.04,0,maxEv,6,587.1,23412,3
price+gbm+offset,0.04,0,mostBooks,6,580.1,17554,3
box+gbm+iso,0.02,0,maxEv,6,578.3,31474,3
price+compact+offset,0.0,0,mostBooks,6,577.8,37769,3
gbm+offset,0.02,0,mostBooks,6,577.4,31950,2
price+offset+iso,0.04,0,mostBooks,6,573.9,17056,3
box+gbm+offset,0.01,0,maxEv,6,573.3,35912,3
price+offset+iso,0.0,0,maxEv,6,570.4,38363,3
compact+box+iso,0.01,0,mostBooks,6,570.3,33278,3
price+gbm+iso,0.02,0,mostBooks,6,561.2,27466,3
price+box,0.0,0,maxEv,6,560.3,38665,2
compact+gbm+offset,0.01,0,mostBooks,6,556.8,34236,3
price+box+iso,0.02,0,mostBooks,6,556.2,26047,3
compact+iso,0.02,0,mostBooks,6,554.6,27394,2
price+gbm+iso,0.01,0,mostBooks,6,554.6,33057,3
compact,0.01,0,maxEv,6,553.0,30421,1
price+gbm+iso,0.02,0,maxEv,6,552.2,27466,3
price+compact+box,0.04,0,maxEv,6,551.4,12340,3
compact+box+gbm,0.01,0,mostBooks,6,550.7,34264,3
price+offset+iso,0.01,0,mostBooks,6,550.0,31945,3
