market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-9.68,-10.35,-10.5,-9118.9,3940,FAIL,graded n=94209 >= 500 but ROI -9.68% <= 0%
batter_hits,price-only (full OOS),342,59.94,4.6,-4.21,-4.94,15.7,289,FAIL,graded n=342 < 500 and ROI CI lower bound -4.21% <= 0%
batter_hits,board (full OOS),1626,58.67,4.8,0.64,0.41,78.0,1095,PASS,graded n=1626 >= 500 and ROI 4.80% > 0%
batter_hits,all-lines (full OOS),1687,58.57,4.54,0.09,0.35,76.6,1095,PASS,graded n=1687 >= 500 and ROI 4.54% > 0%
batter_hits,board SELECT half,614,56.84,0.99,-6.42,-5.8,6.1,429,PASS,graded n=614 >= 500 and ROI 0.99% > 0%
batter_hits,board VERDICT half,1012,59.78,7.11,1.67,1.18,71.9,666,PASS,graded n=1012 >= 500 and ROI 7.11% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-12.86,-13.91,-14.04,-9239.7,3939,FAIL,graded n=71864 >= 500 but ROI -12.86% <= 0%
batter_rbis,price-only (full OOS),1805,59.72,-3.03,-6.57,-6.87,-54.7,906,FAIL,graded n=1805 >= 500 but ROI -3.03% <= 0%
batter_rbis,board (full OOS),2214,61.52,0.82,-2.71,-2.69,18.2,1139,PASS,graded n=2214 >= 500 and ROI 0.82% > 0%
batter_rbis,all-lines (full OOS),2339,61.31,0.51,-2.57,-2.99,11.9,1139,PASS,graded n=2339 >= 500 and ROI 0.51% > 0%
batter_rbis,board SELECT half,1381,61.91,1.51,-2.72,-3.44,20.9,655,PASS,graded n=1381 >= 500 and ROI 1.51% > 0%
batter_rbis,board VERDICT half,833,60.86,-0.32,-5.99,-5.71,-2.7,484,FAIL,graded n=833 >= 500 but ROI -0.32% <= 0%
totals,"base (every candidate, flat)",6259,48.59,-5.71,-8.2,-8.62,-357.6,3865,FAIL,graded n=6259 >= 500 but ROI -5.71% <= 0%
totals,price-only (full OOS),198,48.48,-9.97,-22.86,-22.86,-19.7,198,FAIL,graded n=198 < 500 and ROI CI lower bound -22.86% <= 0%
totals,board (full OOS),1223,52.33,0.05,-5.11,-5.11,0.6,1223,PASS,graded n=1223 >= 500 and ROI 0.05% > 0%
totals,all-lines (full OOS),1538,50.98,-2.65,-7.44,-7.8,-40.8,1223,FAIL,graded n=1538 >= 500 but ROI -2.65% <= 0%
totals,board SELECT half,774,53.75,2.95,-4.01,-4.01,22.8,774,PASS,graded n=774 >= 500 and ROI 2.95% > 0%
totals,board VERDICT half,449,49.89,-4.95,-14.13,-14.13,-22.2,449,FAIL,graded n=449 < 500 and ROI CI lower bound -14.13% <= 0%
spreads,"base (every candidate, flat)",5685,48.57,-2.64,-5.47,-5.67,-150.2,3941,FAIL,graded n=5685 >= 500 but ROI -2.64% <= 0%
spreads,price-only (full OOS),1326,63.27,2.85,-1.51,-1.51,37.8,1326,PASS,graded n=1326 >= 500 and ROI 2.85% > 0%
spreads,board (full OOS),1258,62.64,3.55,-0.75,-0.75,44.7,1258,PASS,graded n=1258 >= 500 and ROI 3.55% > 0%
spreads,all-lines (full OOS),1379,62.29,2.92,-1.55,-1.5,40.2,1258,PASS,graded n=1379 >= 500 and ROI 2.92% > 0%
spreads,board SELECT half,557,64.81,8.04,1.26,1.26,44.8,557,PASS,graded n=557 >= 500 and ROI 8.04% > 0%
spreads,board VERDICT half,701,60.91,-0.01,-6.1,-6.1,-0.1,701,FAIL,graded n=701 >= 500 but ROI -0.01% <= 0%
batter_total_bases,"base (every candidate, flat)",88372,45.0,-11.06,-11.73,-11.87,-9774.5,3940,FAIL,graded n=88372 >= 500 but ROI -11.06% <= 0%
batter_total_bases,price-only (full OOS),4623,59.2,1.63,-0.81,-0.85,75.5,2014,PASS,graded n=4623 >= 500 and ROI 1.63% > 0%
batter_total_bases,board (full OOS),5565,59.57,1.6,-0.57,-0.59,89.1,2014,PASS,graded n=5565 >= 500 and ROI 1.60% > 0%
batter_total_bases,all-lines (full OOS),5795,59.53,1.5,-0.66,-0.71,86.7,2014,PASS,graded n=5795 >= 500 and ROI 1.50% > 0%
batter_total_bases,board SELECT half,2514,59.43,0.76,-2.56,-2.6,19.2,890,PASS,graded n=2514 >= 500 and ROI 0.76% > 0%
batter_total_bases,board VERDICT half,3051,59.69,2.29,-0.73,-0.9,69.9,1125,PASS,graded n=3051 >= 500 and ROI 2.29% > 0%
batter_home_runs,"base (every candidate, flat)",57013,11.61,-16.07,-17.97,-18.1,-9162.9,3219,FAIL,graded n=57013 >= 500 but ROI -16.07% <= 0%
batter_home_runs,price-only (full OOS),6,66.67,3.87,-49.35,-49.35,0.2,6,FAIL,graded n=6 < 500 and ROI CI lower bound -49.35% <= 0%
batter_home_runs,board (full OOS),28,50.0,-21.8,-50.35,-50.35,-6.1,28,FAIL,graded n=28 < 500 and ROI CI lower bound -50.35% <= 0%
batter_home_runs,all-lines (full OOS),31,48.39,-24.29,-49.82,-49.82,-7.5,28,FAIL,graded n=31 < 500 and ROI CI lower bound -49.82% <= 0%
batter_home_runs,board SELECT half,14,64.29,-0.6,-34.97,-34.97,-0.1,14,FAIL,graded n=14 < 500 and ROI CI lower bound -34.97% <= 0%
batter_home_runs,board VERDICT half,14,35.71,-43.0,-77.87,-77.87,-6.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -77.87% <= 0%
pitcher_strikeouts,"base (every candidate, flat)",19447,49.11,-4.94,-6.42,-7.16,-961.6,3415,FAIL,graded n=19447 >= 500 but ROI -4.94% <= 0%
pitcher_strikeouts,price-only (full OOS),13,46.15,-15.03,-58.31,-58.31,-2.0,13,FAIL,graded n=13 < 500 and ROI CI lower bound -58.31% <= 0%
pitcher_strikeouts,board (full OOS),416,50.24,-8.68,-17.54,-17.79,-36.1,355,FAIL,graded n=416 < 500 and ROI CI lower bound -17.54% <= 0%
pitcher_strikeouts,all-lines (full OOS),441,50.79,-8.01,-16.62,-17.09,-35.3,355,FAIL,graded n=441 < 500 and ROI CI lower bound -16.62% <= 0%
pitcher_strikeouts,board SELECT half,355,50.14,-8.28,-17.96,-17.07,-29.4,296,FAIL,graded n=355 < 500 and ROI CI lower bound -17.96% <= 0%
pitcher_strikeouts,board VERDICT half,61,50.82,-11.01,-32.76,-33.93,-6.7,59,FAIL,graded n=61 < 500 and ROI CI lower bound -32.76% <= 0%
h2h,"base (every candidate, flat)",4504,53.73,-0.16,-2.92,-2.92,-7.3,3941,FAIL,graded n=4504 >= 500 but ROI -0.16% <= 0%
h2h,price-only (full OOS),1401,57.32,-6.32,-10.52,-10.52,-88.6,1401,FAIL,graded n=1401 >= 500 but ROI -6.32% <= 0%
h2h,board (full OOS),1441,58.15,-2.49,-6.82,-6.82,-35.8,1441,FAIL,graded n=1441 >= 500 but ROI -2.49% <= 0%
h2h,all-lines (full OOS),1583,58.62,-1.93,-5.89,-5.89,-30.5,1441,FAIL,graded n=1583 >= 500 but ROI -1.93% <= 0%
h2h,board SELECT half,767,59.97,0.28,-5.72,-5.72,2.2,767,PASS,graded n=767 >= 500 and ROI 0.28% > 0%
h2h,board VERDICT half,674,56.08,-5.63,-12.04,-12.04,-38.0,674,FAIL,graded n=674 >= 500 but ROI -5.63% <= 0%
batter_runs_scored,"base (every candidate, flat)",31012,37.27,-11.52,-12.81,-13.28,-3573.6,1589,FAIL,graded n=31012 >= 500 but ROI -11.52% <= 0%
batter_runs_scored,price-only (full OOS),3954,57.36,-0.47,-3.13,-3.51,-18.6,942,FAIL,graded n=3954 >= 500 but ROI -0.47% <= 0%
batter_runs_scored,board (full OOS),4936,58.97,0.31,-2.06,-2.6,15.3,838,PASS,graded n=4936 >= 500 and ROI 0.31% > 0%
batter_runs_scored,all-lines (full OOS),5262,58.82,0.02,-2.22,-2.73,0.8,838,PASS,graded n=5262 >= 500 and ROI 0.02% > 0%
batter_runs_scored,board SELECT half,3491,59.44,1.39,-1.38,-1.97,48.4,510,PASS,graded n=3491 >= 500 and ROI 1.39% > 0%
batter_runs_scored,board VERDICT half,1445,57.85,-2.29,-6.65,-7.55,-33.1,328,FAIL,graded n=1445 >= 500 but ROI -2.29% <= 0%
pitcher_outs,"base (every candidate, flat)",6686,50.81,-3.44,-5.67,-6.27,-230.1,2996,FAIL,graded n=6686 >= 500 but ROI -3.44% <= 0%
pitcher_outs,price-only (full OOS),698,60.32,0.36,-5.82,-5.86,2.5,614,PASS,graded n=698 >= 500 and ROI 0.36% > 0%
pitcher_outs,board (full OOS),1145,58.95,-0.1,-4.91,-5.09,-1.2,963,FAIL,graded n=1145 >= 500 but ROI -0.10% <= 0%
pitcher_outs,all-lines (full OOS),1186,59.02,-0.0,-4.56,-4.57,-0.0,963,FAIL,graded n=1186 >= 500 but ROI -0.00% <= 0%
pitcher_outs,board SELECT half,756,60.05,2.22,-3.98,-4.34,16.8,612,PASS,graded n=756 >= 500 and ROI 2.22% > 0%
pitcher_outs,board VERDICT half,389,56.81,-4.63,-12.94,-12.98,-18.0,351,FAIL,graded n=389 < 500 and ROI CI lower bound -12.94% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),2114,60.64,1.61,-1.9,-2.08,34.0,649,PASS,graded n=2114 >= 500 and ROI 1.61% > 0%
batter_strikeouts,board (full OOS),1830,62.73,4.26,0.36,0.53,78.0,718,PASS,graded n=1830 >= 500 and ROI 4.26% > 0%
batter_strikeouts,all-lines (full OOS),1893,63.07,4.87,1.47,1.17,92.1,718,PASS,graded n=1893 >= 500 and ROI 4.87% > 0%
batter_strikeouts,board SELECT half,1354,62.7,4.25,-0.14,-0.26,57.6,482,PASS,graded n=1354 >= 500 and ROI 4.25% > 0%
batter_strikeouts,board VERDICT half,476,62.82,4.28,-3.03,-2.23,20.4,236,FAIL,graded n=476 < 500 and ROI CI lower bound -3.03% <= 0%
