market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_filtered,under,94209,-9.68,-14.43,1273,9.38,4.35,119.4,PASS,1346,8.52,PASS,486,4.57,2025-05-19,787,62.64,12.43,6.23,5.4,97.8,530,PASS,graded n=787 >= 500 and ROI 12.43% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_filtered,under,71864,-12.86,-0.73,1706,2.41,-1.45,41.1,PASS,1808,2.5,PASS,1107,5.42,2025-06-18,599,60.6,-2.11,-8.28,-8.7,-12.6,393,FAIL,graded n=599 >= 500 but ROI -2.11% <= 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_pass,under,6259,-5.71,-100.0,526,1.07,-7.04,5.6,PASS,762,-1.87,FAIL,285,1.77,2025-06-08,241,51.87,0.91,-10.88,-10.88,2.2,241,FAIL,graded n=241 < 500 and ROI CI lower bound -10.88% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_pass,over,5685,-2.64,2.14,1022,4.02,-0.89,41.1,PASS,1157,3.96,PASS,516,8.4,2025-06-10,506,59.68,-1.17,-8.28,-8.28,-5.9,506,FAIL,graded n=506 >= 500 but ROI -1.17% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_filtered,under,88372,-11.06,1.7,3350,5.67,2.94,189.9,PASS,3543,5.23,PASS,1854,5.11,2025-06-15,1496,62.9,6.34,2.17,1.78,94.8,701,PASS,graded n=1496 >= 500 and ROI 6.34% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,gbm,0.04,60,mostBooks,ev_filtered,both,57013,-16.07,0.0,27,-24.32,-53.41,-6.6,FAIL,30,-26.8,FAIL,13,-4.22,2025-05-11,14,35.71,-43.0,-77.87,-77.87,-6.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -77.87% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,gbm,0.04,60,mostBooks,ev_filtered,over,19447,-4.94,0.0,925,3.04,-2.21,28.2,PASS,1136,2.5,PASS,433,2.82,2025-06-30,492,61.59,2.53,-4.56,-4.89,12.5,425,FAIL,graded n=492 < 500 and ROI CI lower bound -4.56% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_pass,over,4504,-0.16,-6.5,931,0.43,-4.75,4.0,PASS,1043,2.03,PASS,502,3.88,2025-06-14,431,58.47,-2.88,-11.03,-11.03,-12.4,431,FAIL,graded n=431 < 500 and ROI CI lower bound -11.03% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,gbm,0.04,60,mostBooks,ev_filtered,both,31012,-11.52,2.33,4183,-0.08,-2.53,-3.2,FAIL,4486,-0.58,FAIL,2482,1.2,2024-06-28,1701,59.73,-1.84,-5.67,-6.6,-31.3,429,FAIL,graded n=1701 >= 500 but ROI -1.84% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,gbm,0.04,60,mostBooks,ev_filtered,over,6686,-3.44,-0.57,625,-1.98,-8.46,-12.4,FAIL,664,-2.01,FAIL,373,1.53,2025-07-07,252,54.76,-7.01,-17.74,-17.29,-17.7,230,FAIL,graded n=252 < 500 and ROI CI lower bound -17.74% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,0.04,60,mostBooks,ev_filtered,under,27835,-12.13,-0.39,1391,6.23,2.04,86.7,PASS,1441,6.6,PASS,797,7.97,2024-06-19,594,62.79,3.89,-2.78,-1.94,23.1,324,PASS,graded n=594 >= 500 and ROI 3.89% > 0%
