spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+offset,0.04,60,maxEv,6,265.9,6481,3
price+gbm+iso,0.0,60,mostBooks,6,262.6,13150,3
gbm+offset,0.04,60,maxEv,6,261.5,8104,2
box+gbm,0.04,60,maxEv,6,259.9,8217,2
price+box+gbm,0.04,60,maxEv,6,258.7,5360,3
compact+gbm+offset,0.04,60,mostBooks,6,246.8,6480,3
compact+gbm+iso,0.0,60,maxEv,6,241.2,13506,3
price+box+gbm,0.0,60,maxEv,6,240.4,13827,3
price+box+gbm,0.04,60,mostBooks,6,240.2,5359,3
price+gbm+offset,0.04,60,maxEv,6,240.0,5283,3
price+gbm+offset,0.0,60,maxEv,6,239.7,13708,3
box+gbm,0.01,60,maxEv,6,235.7,13014,2
box+gbm,0.04,60,mostBooks,6,234.6,8216,2
gbm+offset,0.04,60,mostBooks,6,234.6,8103,2
box+gbm+offset,0.0,60,maxEv,6,233.5,14501,3
compact+box+iso,0.0,60,mostBooks,6,229.4,13542,3
compact+gbm+iso,0.0,60,mostBooks,6,228.6,13506,3
compact+box+iso,0.0,60,maxEv,6,227.6,13543,3
price+gbm+offset,0.01,60,maxEv,6,226.7,11272,3
price+box+gbm,0.0,60,mostBooks,6,222.0,13826,3
price+gbm+offset,0.04,60,mostBooks,6,221.6,5282,3
price+box+gbm,0.01,60,maxEv,6,221.0,11369,3
price+gbm+offset,0.0,60,mostBooks,6,219.4,13707,3
compact+gbm+iso,0.01,60,maxEv,6,216.4,11611,3
box+gbm+offset,0.0,60,mostBooks,6,210.8,14501,3
box+gbm,0.01,60,mostBooks,6,210.1,13013,2
price+gbm+offset,0.01,60,mostBooks,6,207.4,11271,3
price+box+gbm,0.01,60,mostBooks,6,203.5,11368,3
compact+gbm+iso,0.01,60,mostBooks,6,199.5,11611,3
gbm+offset,0.0,60,maxEv,6,199.1,14827,2
box+gbm,0.0,60,maxEv,6,196.9,14953,2
price+box+offset,0.01,60,maxEv,6,193.1,11029,3
price+box+offset,0.01,60,mostBooks,6,187.2,11027,3
box+gbm+offset,0.01,60,maxEv,6,186.1,12583,3
price+box+iso,0.01,60,maxEv,6,183.2,10854,3
price+box+iso,0.01,60,mostBooks,6,182.1,10853,3
compact+gbm,0.0,60,maxEv,6,178.6,14780,2
compact+offset,0.02,60,mostBooks,6,177.9,9450,2
box+offset,0.01,60,maxEv,6,177.8,12667,2
compact+gbm,0.0,60,mostBooks,6,177.0,14779,2
gbm+offset,0.01,60,mostBooks,6,176.2,12891,2
gbm+offset,0.0,60,mostBooks,6,172.7,14826,2
box+gbm,0.0,60,mostBooks,6,172.1,14952,2
offset,0.01,60,maxEv,6,171.2,12555,1
offset,0.01,60,mostBooks,6,170.9,12555,1
box,0.01,60,maxEv,6,169.2,12815,1
compact+box,0.01,60,mostBooks,6,166.8,11704,2
box+iso,0.04,60,maxEv,6,161.6,7989,2
box+gbm+offset,0.01,60,mostBooks,6,159.0,12583,3
compact+offset,0.04,60,maxEv,6,157.5,5902,2
compact+box,0.04,60,maxEv,6,156.7,6013,2
compact+box,0.04,60,mostBooks,6,152.8,6012,2
offset+iso,0.04,60,maxEv,6,151.4,7875,2
compact+offset,0.04,60,mostBooks,6,151.1,5901,2
offset+iso,0.04,60,mostBooks,6,150.2,7874,2
box,0.0,60,mostBooks,6,144.7,14818,1
box,0.0,60,maxEv,6,144.5,14820,1
iso,0.01,60,maxEv,6,141.8,14063,1
offset,0.0,60,maxEv,6,135.2,14531,1
offset,0.0,60,mostBooks,6,134.6,14531,1
box+offset,0.02,60,mostBooks,6,131.5,10913,2
offset,0.02,60,mostBooks,6,129.5,10761,1
compact+box+offset,0.02,60,mostBooks,6,128.8,9860,3
compact+box+offset,0.02,60,maxEv,6,128.4,9861,3
box+offset,0.0,60,maxEv,6,128.3,14706,2
iso,0.01,60,mostBooks,6,128.2,14061,1
box+offset,0.0,60,mostBooks,6,127.4,14705,2
iso,0.04,60,mostBooks,6,111.7,9695,1
iso,0.02,60,maxEv,6,106.3,12561,1
compact+box+offset,0.04,60,mostBooks,6,99.3,6408,3
compact+box+offset,0.04,60,maxEv,6,97.8,6409,3
iso,0.0,60,mostBooks,6,97.4,15699,1
iso,0.02,60,mostBooks,6,93.1,12560,1
compact+gbm+iso,0.04,60,maxEv,5,316.6,6670,3
compact+gbm+iso,0.04,60,mostBooks,5,301.8,6670,3
compact+gbm,0.02,60,maxEv,5,269.1,10663,2
compact+gbm,0.02,60,mostBooks,5,265.3,10662,2
price+gbm,0.04,60,mostBooks,5,262.8,5730,2
price+gbm,0.04,60,maxEv,5,261.3,5730,2
price+compact+gbm,0.04,60,maxEv,5,242.6,4735,3
price+gbm+offset,0.02,60,maxEv,5,239.8,9008,3
price+compact+gbm,0.02,60,maxEv,5,238.4,8786,3
price+compact+gbm,0.04,60,mostBooks,5,235.4,4734,3
price+gbm+iso,0.04,60,maxEv,5,233.3,5601,3
price+gbm+iso,0.04,60,mostBooks,5,230.0,5600,3
price+box+gbm,0.02,60,maxEv,5,229.2,9129,3
price+compact+gbm,0.02,60,mostBooks,5,226.2,8785,3
box+gbm,0.02,60,maxEv,5,223.4,11283,2
compact+gbm+iso,0.02,60,maxEv,5,222.9,9772,3
price+gbm+offset,0.02,60,mostBooks,5,221.5,9007,3
compact+iso,0.0,60,maxEv,5,217.7,13361,2
price+box+gbm,0.02,60,mostBooks,5,212.8,9128,3
compact+iso,0.0,60,mostBooks,5,212.7,13360,2
gbm+offset,0.02,60,maxEv,5,212.6,11113,2
compact,0.04,60,maxEv,5,209.7,5599,1
compact+box,0.0,60,maxEv,5,207.8,14041,2
compact+gbm+iso,0.02,60,mostBooks,5,205.9,9772,3
box+gbm+offset,0.02,60,maxEv,5,205.2,10773,3
price+compact+iso,0.0,60,maxEv,5,203.8,12819,3
gbm+offset,0.01,60,maxEv,5,203.4,12892,2
compact+box,0.0,60,mostBooks,5,202.7,14040,2
price+compact+iso,0.0,60,mostBooks,5,200.6,12818,3
