spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+iso,0.04,60,maxEv,6,233.7,7492,3
price+gbm,0.04,60,maxEv,6,232.6,6622,2
price+gbm+offset,0.02,60,maxEv,6,230.9,10738,3
price+box+gbm,0.02,60,mostBooks,6,229.7,10849,3
price+box+gbm,0.02,60,maxEv,6,229.6,10850,3
price+gbm+offset,0.02,60,mostBooks,6,226.8,10737,3
box+iso,0.04,60,mostBooks,6,207.6,9172,2
iso,0.04,60,mostBooks,6,206.5,10748,1
compact+box+gbm,0.01,60,mostBooks,6,204.4,15402,3
box+iso,0.04,60,maxEv,6,203.7,9173,2
offset+iso,0.04,60,maxEv,6,202.7,9058,2
price+box+offset,0.02,60,maxEv,6,198.9,10445,3
compact+gbm+offset,0.02,60,maxEv,6,196.0,12298,3
iso,0.04,60,maxEv,6,195.6,10748,1
compact+gbm+offset,0.02,60,mostBooks,6,191.1,12297,3
price+box+gbm,0.01,60,maxEv,6,189.4,14280,3
price+box+gbm,0.01,60,mostBooks,6,189.0,14279,3
price+box+offset,0.02,60,mostBooks,6,184.1,10444,3
price+gbm+offset,0.01,60,maxEv,6,180.8,14188,3
compact+box+gbm,0.0,60,mostBooks,6,179.2,18686,3
offset+iso,0.02,60,mostBooks,6,178.6,13040,2
price+gbm+offset,0.01,60,mostBooks,6,176.0,14187,3
compact+gbm,0.01,60,maxEv,6,173.9,16093,2
price+offset+iso,0.02,60,maxEv,6,173.0,10135,3
box+gbm+offset,0.02,60,maxEv,6,173.0,13559,3
compact+gbm,0.01,60,mostBooks,6,172.4,16093,2
box+gbm+iso,0.01,60,maxEv,6,171.0,15514,3
box+gbm+iso,0.01,60,mostBooks,6,169.0,15513,3
box+offset+iso,0.04,60,mostBooks,6,168.8,8854,3
box+gbm+offset,0.02,60,mostBooks,6,167.0,13558,3
compact+offset,0.02,60,maxEv,6,163.4,11643,2
compact+offset+iso,0.02,60,maxEv,6,161.4,11486,3
compact+offset+iso,0.02,60,mostBooks,6,160.9,11485,3
box+offset+iso,0.04,60,maxEv,6,159.4,8855,3
box+gbm+iso,0.0,60,mostBooks,6,159.1,18370,3
box+gbm+iso,0.0,60,maxEv,6,158.2,18371,3
price+gbm+iso,0.01,60,mostBooks,6,156.7,13592,3
price+box,0.01,60,maxEv,6,154.8,12848,2
price+gbm+iso,0.01,60,maxEv,6,153.5,13592,3
compact+box,0.04,60,maxEv,6,152.0,7121,2
box+iso,0.02,60,maxEv,6,149.3,13158,2
box+gbm+offset,0.01,60,maxEv,6,147.8,16352,3
compact+offset,0.02,60,mostBooks,6,147.4,11642,2
price+box,0.01,60,mostBooks,6,143.2,12847,2
box+gbm+offset,0.01,60,mostBooks,6,142.8,16351,3
compact+box,0.04,60,mostBooks,6,137.5,7120,2
price+gbm+iso,0.0,60,mostBooks,6,127.6,16999,3
gbm+offset+iso,0.0,60,mostBooks,6,126.4,18542,3
price+gbm+iso,0.0,60,maxEv,6,123.1,16999,3
price+offset+iso,0.01,60,mostBooks,6,120.6,13077,3
compact+box,0.01,60,maxEv,6,112.5,14808,2
gbm+iso,0.0,60,mostBooks,6,96.6,19012,2
box+offset,0.02,60,mostBooks,6,95.5,13782,2
compact+box,0.01,60,mostBooks,6,95.1,14807,2
box+offset,0.02,60,maxEv,6,93.8,13783,2
gbm+iso,0.0,60,maxEv,6,93.0,19012,2
price+box+iso,0.01,60,maxEv,6,92.2,13152,3
offset,0.02,60,maxEv,6,84.7,13662,1
price+box+iso,0.01,60,mostBooks,6,84.6,13151,3
compact+offset+iso,0.0,60,mostBooks,6,83.0,17453,3
offset,0.02,60,mostBooks,6,81.4,13661,1
price+gbm,0.0,60,mostBooks,6,63.9,18578,2
compact+box+offset,0.01,60,maxEv,6,62.9,15238,3
compact+box+offset,0.01,60,mostBooks,6,54.5,15237,3
price+gbm,0.0,60,maxEv,6,46.5,18578,2
compact+box+offset,0.0,60,maxEv,6,40.4,18406,3
price+box+gbm,0.04,60,mostBooks,5,251.5,6172,3
price+box+gbm,0.04,60,maxEv,5,246.9,6173,3
price+gbm+offset,0.04,60,mostBooks,5,223.7,6067,3
price+gbm+offset,0.04,60,maxEv,5,223.6,6068,3
offset+iso,0.02,60,maxEv,5,171.4,13041,2
compact+box+iso,0.04,60,mostBooks,5,168.3,7298,3
compact+box+iso,0.04,60,maxEv,5,167.9,7299,3
price+box+gbm,0.0,60,mostBooks,5,164.1,18058,3
price+box+gbm,0.0,60,maxEv,5,163.7,18059,3
compact+gbm+offset,0.0,60,mostBooks,5,158.1,18605,3
price+gbm+offset,0.0,60,maxEv,5,157.4,17922,3
price+offset,0.01,60,maxEv,5,157.3,12664,2
price+compact+box,0.02,60,maxEv,5,155.5,9051,3
compact+gbm+offset,0.0,60,maxEv,5,155.1,18606,3
price+box+offset,0.04,60,maxEv,5,154.1,5872,3
compact+gbm,0.0,60,maxEv,5,153.8,19281,2
price+gbm+offset,0.0,60,mostBooks,5,153.6,17921,3
compact+gbm,0.0,60,mostBooks,5,153.1,19281,2
compact+offset+iso,0.04,60,mostBooks,5,151.8,7236,3
price+offset,0.01,60,mostBooks,5,150.3,12663,2
price+compact+box,0.02,60,mostBooks,5,146.5,9050,3
compact+iso,0.04,60,mostBooks,5,145.6,7030,2
compact+iso,0.04,60,maxEv,5,141.5,7031,2
price+box+offset,0.04,60,mostBooks,5,139.4,5871,3
compact+offset+iso,0.01,60,maxEv,5,139.0,14257,3
compact+offset+iso,0.01,60,mostBooks,5,135.5,14256,3
gbm,0.0,60,maxEv,5,132.7,22582,1
box+offset+iso,0.02,60,mostBooks,5,128.7,12935,3
gbm+offset+iso,0.0,60,maxEv,5,127.8,18543,3
price+offset+iso,0.01,60,maxEv,5,126.5,13078,3
price+compact+iso,0.04,60,mostBooks,5,126.2,4196,3
gbm,0.0,60,mostBooks,5,124.9,22581,1
compact+offset,0.04,60,maxEv,5,124.4,7030,2
price+compact+iso,0.04,60,maxEv,5,124.2,4197,3
box+offset+iso,0.01,60,mostBooks,5,121.3,15634,3
box+offset+iso,0.02,60,maxEv,5,119.5,12936,3
box+offset+iso,0.01,60,maxEv,5,115.5,15635,3
iso,0.02,60,mostBooks,5,115.1,14632,1
box+iso,0.01,60,mostBooks,5,114.4,15746,2
offset+iso,0.01,60,mostBooks,5,113.6,15572,2
box+iso,0.01,60,maxEv,5,113.0,15747,2
compact+offset,0.04,60,mostBooks,5,108.9,7029,2
compact+gbm+iso,0.0,60,mostBooks,5,108.2,17647,3
offset+iso,0.01,60,maxEv,5,107.8,15573,2
compact+box+iso,0.01,60,maxEv,5,107.4,14291,3
compact+box+iso,0.01,60,mostBooks,5,105.1,14290,3
compact+box+iso,0.0,60,maxEv,5,102.4,17541,3
compact+box+iso,0.0,60,mostBooks,5,101.5,17540,3
compact+gbm+iso,0.0,60,maxEv,5,100.4,17647,3
box,0.02,60,mostBooks,5,96.1,13963,1
box,0.02,60,maxEv,5,93.0,13964,1
box,0.04,60,mostBooks,5,91.4,9602,1
price+gbm,0.01,60,mostBooks,5,89.9,14806,2
box,0.04,60,maxEv,5,89.0,9603,1
compact+offset+iso,0.0,60,maxEv,5,85.0,17454,3
box+offset,0.04,60,mostBooks,5,84.3,9435,2
box+offset,0.04,60,maxEv,5,83.5,9436,2
compact+offset,0.0,60,maxEv,5,80.6,18149,2
price+gbm,0.01,60,maxEv,5,77.9,14806,2
compact+box,0.0,60,maxEv,5,70.8,18290,2
compact+offset,0.0,60,mostBooks,5,60.3,18148,2
compact+box,0.0,60,mostBooks,5,56.3,18289,2
price+offset,0.0,60,maxEv,5,42.2,17259,2
compact+box+offset,0.0,60,mostBooks,5,34.8,18405,3
box+offset,0.01,60,maxEv,5,34.6,16475,2
box+offset,0.01,60,mostBooks,5,33.9,16474,2
price+box,0.0,60,maxEv,5,32.5,17464,2
price+offset,0.0,60,mostBooks,5,30.8,17258,2
offset,0.01,60,maxEv,5,28.8,16359,1
box,0.01,60,maxEv,5,27.8,16611,1
box,0.01,60,mostBooks,5,27.2,16610,1
offset,0.01,60,mostBooks,5,26.3,16358,1
price+box,0.0,60,mostBooks,5,15.2,17463,2
offset,0.0,60,maxEv,5,-4.7,19251,1
box+offset,0.0,60,maxEv,5,-6.7,19401,2
price+gbm+iso,0.04,60,mostBooks,4,227.1,6304,3
price+gbm+iso,0.04,60,maxEv,4,223.6,6304,3
price+compact+offset,0.02,60,maxEv,4,159.3,8980,3
price+compact+offset,0.02,60,mostBooks,4,155.7,8979,3
price+box+iso,0.04,60,maxEv,4,154.2,5932,3
compact+offset+iso,0.04,60,maxEv,4,151.5,7237,3
price+box+iso,0.04,60,mostBooks,4,151.1,5931,3
price+offset+iso,0.04,60,maxEv,4,150.6,5871,3
price+offset+iso,0.04,60,mostBooks,4,149.3,5870,3
price+offset,0.02,60,maxEv,4,147.8,8798,2
