spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+box+iso,0.01,60,mostBooks,7,155.6,20032,3
compact+offset+iso,0.01,60,maxEv,7,154.8,19890,3
compact+box,0.02,60,mostBooks,7,151.7,15911,2
compact+offset,0.02,60,maxEv,7,151.6,15678,2
compact+gbm+offset,0.01,60,maxEv,7,149.8,19798,3
compact+box+gbm,0.0,60,mostBooks,7,146.6,23453,3
compact+offset,0.02,60,mostBooks,7,145.5,15680,2
compact+gbm+offset,0.01,60,mostBooks,7,145.2,19799,3
price+box+gbm,0.02,60,mostBooks,7,143.3,15187,3
compact+offset+iso,0.01,60,mostBooks,7,142.9,19892,3
box+gbm,0.01,60,mostBooks,7,142.6,21532,2
compact+offset,0.04,60,maxEv,7,142.1,10018,2
compact+offset,0.04,60,mostBooks,7,137.5,10019,2
price+box+iso,0.0,60,maxEv,7,135.7,22427,3
price+offset,0.02,60,maxEv,7,134.8,12472,2
price+compact+iso,0.01,60,maxEv,7,133.1,17878,3
compact+box+gbm,0.02,60,maxEv,7,122.8,16622,3
compact+offset+iso,0.0,60,maxEv,7,122.8,23375,3
price+box+iso,0.0,60,mostBooks,7,118.2,22428,3
box+iso,0.04,60,maxEv,7,116.1,13926,2
compact+box,0.01,60,maxEv,7,115.4,19380,2
compact+box+gbm,0.02,60,mostBooks,7,114.3,16623,3
compact+iso,0.01,60,maxEv,7,114.0,20132,2
compact+offset+iso,0.0,60,mostBooks,7,112.0,23377,3
offset+iso,0.04,60,maxEv,7,105.8,13752,2
gbm+offset+iso,0.0,60,mostBooks,7,101.7,24072,3
compact+box,0.01,60,mostBooks,7,100.0,19382,2
compact+iso,0.01,60,mostBooks,7,95.2,20132,2
box+iso,0.02,60,maxEv,7,93.8,19277,2
box+iso,0.04,60,mostBooks,7,91.1,13928,2
offset+iso,0.04,60,mostBooks,7,82.8,13754,2
price+iso,0.0,60,maxEv,7,79.4,22448,2
compact+box+offset,0.02,60,mostBooks,7,77.5,16567,3
compact+box+offset,0.02,60,maxEv,7,75.6,16566,3
compact+box,0.0,60,maxEv,7,74.7,23010,2
box+iso,0.02,60,mostBooks,7,72.7,19279,2
compact+box,0.0,60,mostBooks,7,58.8,23012,2
box+offset+iso,0.02,60,maxEv,7,57.5,18685,3
offset+iso,0.02,60,mostBooks,7,57.1,19082,2
box+offset+iso,0.04,60,maxEv,7,56.7,13392,3
box+offset+iso,0.02,60,mostBooks,7,47.3,18685,3
box+offset+iso,0.04,60,mostBooks,7,44.0,13392,3
compact+box+offset,0.0,60,mostBooks,7,32.7,23242,3
box,0.04,60,maxEv,7,-2.7,13705,1
offset,0.04,60,mostBooks,7,-3.9,13357,1
box,0.04,60,mostBooks,7,-6.9,13707,1
box+offset,0.04,60,mostBooks,7,-19.6,13473,2
price+compact+gbm,0.02,60,maxEv,6,305.6,14486,3
price+compact+gbm,0.02,60,mostBooks,6,299.1,14486,3
price+gbm,0.0,60,mostBooks,6,233.3,23367,2
price+gbm+iso,0.04,60,maxEv,6,232.9,9713,3
price+gbm,0.04,60,mostBooks,6,231.1,9854,2
price+gbm+iso,0.04,60,mostBooks,6,219.9,9713,3
price+compact+iso,0.04,60,maxEv,6,213.1,6946,3
price+compact+iso,0.04,60,mostBooks,6,208.9,6947,3
price+box+iso,0.04,60,maxEv,6,208.8,9026,3
box+gbm+iso,0.01,60,maxEv,6,191.7,21048,3
price+box+gbm,0.04,60,mostBooks,6,191.3,9348,3
compact+iso,0.04,60,maxEv,6,190.2,10880,2
price+box+gbm,0.04,60,maxEv,6,189.5,9349,3
box+gbm,0.0,60,mostBooks,6,187.8,24580,2
iso,0.04,60,maxEv,6,187.4,17136,1
compact+iso,0.02,60,maxEv,6,184.2,16690,2
gbm+iso,0.01,60,mostBooks,6,178.0,21790,2
compact+iso,0.04,60,mostBooks,6,177.5,10881,2
price+gbm+offset,0.04,60,mostBooks,6,176.7,9192,3
gbm,0.02,60,maxEv,6,174.6,22331,1
price+gbm+offset,0.04,60,maxEv,6,174.5,9193,3
price+box+iso,0.02,60,maxEv,6,170.0,14811,3
price+gbm+offset,0.0,60,mostBooks,6,167.4,22679,3
price+gbm+offset,0.02,60,maxEv,6,166.9,14982,3
compact+iso,0.02,60,mostBooks,6,166.4,16691,2
price+gbm+offset,0.0,60,maxEv,6,166.4,22679,3
price+gbm+offset,0.02,60,mostBooks,6,166.3,14981,3
price+offset+iso,0.02,60,maxEv,6,161.6,14676,3
price+box+gbm,0.0,60,maxEv,6,161.3,22857,3
price+offset,0.01,60,mostBooks,6,160.2,16897,2
price+box+gbm,0.0,60,mostBooks,6,157.9,22856,3
price+offset,0.01,60,maxEv,6,155.0,16897,2
price+box+iso,0.02,60,mostBooks,6,148.7,14812,3
price+offset+iso,0.02,60,mostBooks,6,148.7,14677,3
price+compact,0.01,60,mostBooks,6,147.5,16962,2
gbm,0.01,60,maxEv,6,147.0,24806,1
price+offset,0.02,60,mostBooks,6,138.4,12472,2
compact+box+iso,0.0,60,maxEv,6,134.0,23519,3
price+compact+box,0.04,60,maxEv,6,130.5,6522,3
compact+box+iso,0.0,60,mostBooks,6,127.5,23522,3
price+compact+offset,0.04,60,maxEv,6,127.0,6425,3
price+compact+box,0.04,60,mostBooks,6,126.8,6522,3
box+gbm+offset,0.01,60,maxEv,6,126.8,20960,3
price+compact+offset,0.04,60,mostBooks,6,126.4,6425,3
box+gbm+offset,0.04,60,maxEv,6,125.1,12901,3
price+compact+iso,0.01,60,mostBooks,6,124.7,17879,3
price+box,0.02,60,mostBooks,6,116.9,12743,2
price+box,0.02,60,maxEv,6,116.4,12743,2
gbm+offset+iso,0.0,60,maxEv,6,115.3,24071,3
compact,0.02,60,maxEv,6,112.5,15644,1
compact,0.02,60,mostBooks,6,108.4,15644,1
box+gbm+iso,0.0,60,mostBooks,6,107.7,24142,3
compact+box+offset,0.04,60,mostBooks,6,107.0,11128,3
price+box,0.01,60,maxEv,6,106.8,17192,2
compact+gbm+offset,0.0,60,maxEv,6,104.2,23313,3
price+box+offset,0.04,60,mostBooks,6,102.9,9060,3
price+offset+iso,0.0,60,maxEv,6,102.7,22265,3
compact+box+offset,0.04,60,maxEv,6,102.2,11127,3
compact+gbm+offset,0.0,60,mostBooks,6,97.1,23316,3
price+box+offset,0.04,60,maxEv,6,94.7,9059,3
price+offset+iso,0.0,60,mostBooks,6,90.6,22266,3
offset+iso,0.02,60,maxEv,6,78.6,19080,2
price+box+offset,0.01,60,mostBooks,6,75.3,18545,3
compact+box+offset,0.01,60,maxEv,6,73.2,19775,3
