spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+iso,0.04,55,maxEv,10,389.9,10512,3
compact+gbm+iso,0.04,55,mostBooks,10,373.6,10513,3
price+compact,0.02,0,maxEv,9,756.3,33893,2
gbm+iso,0.0,55,maxEv,9,432.5,20847,2
compact+gbm+iso,0.01,55,maxEv,9,407.0,17165,3
compact+gbm+iso,0.0,55,maxEv,9,397.4,19824,3
compact+gbm+iso,0.01,55,mostBooks,9,393.4,17166,3
compact+gbm+iso,0.02,55,maxEv,9,388.3,14775,3
box+gbm+iso,0.0,55,maxEv,9,386.2,20579,3
compact+gbm+iso,0.0,55,mostBooks,9,384.0,19825,3
compact+gbm+offset,0.02,55,maxEv,9,382.5,14692,3
gbm+iso,0.01,55,maxEv,9,375.4,18527,2
gbm+offset+iso,0.0,55,maxEv,9,375.1,20432,3
gbm+iso,0.02,55,maxEv,9,375.0,16473,2
compact+gbm,0.04,55,maxEv,9,373.9,10751,2
compact+gbm+iso,0.02,55,mostBooks,9,372.6,14776,3
gbm+offset,0.04,55,maxEv,9,371.1,11959,2
box+gbm,0.04,55,maxEv,9,368.9,12155,2
price+gbm+iso,0.02,55,maxEv,9,368.4,13813,3
compact+gbm+offset,0.04,55,maxEv,9,363.2,10140,3
compact+box+gbm,0.02,55,maxEv,9,360.9,14863,3
price+gbm+iso,0.01,55,maxEv,9,358.3,16455,3
compact+gbm,0.04,55,mostBooks,9,356.2,10749,2
compact+box+gbm,0.04,55,maxEv,9,346.8,10291,3
gbm+iso,0.04,55,maxEv,9,339.5,12792,2
box+gbm+iso,0.04,55,maxEv,9,337.0,11957,3
gbm+offset+iso,0.04,55,maxEv,9,330.8,11820,3
price+compact+gbm,0.02,55,maxEv,9,329.6,13320,3
compact+iso,0.04,55,mostBooks,9,308.6,10368,2
compact+box+iso,0.01,55,mostBooks,9,307.8,17521,3
compact+box+iso,0.01,55,maxEv,9,307.3,17519,3
compact+box+iso,0.04,55,mostBooks,9,296.2,10530,3
compact+box+iso,0.04,55,maxEv,9,288.0,10530,3
box+gbm,0.01,60,maxEv,9,281.0,13113,2
compact+box+iso,0.0,55,mostBooks,9,272.9,20281,3
box+gbm+iso,0.02,60,maxEv,9,248.0,10589,3
price+gbm+iso,0.02,0,mostBooks,8,1094.4,39853,3
box+gbm+offset,0.04,0,mostBooks,8,994.7,32007,3
compact+gbm+iso,0.02,0,mostBooks,8,915.1,40792,3
price+compact+iso,0.04,0,maxEv,8,875.6,22102,3
price+compact+iso,0.02,0,maxEv,8,826.0,35925,3
compact+gbm+iso,0.01,0,mostBooks,8,800.0,46952,3
price+compact,0.01,0,maxEv,8,744.1,46241,2
price+compact,0.02,0,mostBooks,8,733.1,33890,2
price+compact,0.01,0,mostBooks,8,700.7,46238,2
price+compact,0.0,0,maxEv,8,625.5,58203,2
price+compact,0.0,0,mostBooks,8,606.2,58201,2
gbm+iso,0.0,55,mostBooks,8,444.2,20849,2
box+gbm+iso,0.02,55,maxEv,8,409.8,15900,3
box+gbm+iso,0.01,55,maxEv,8,395.0,18194,3
gbm+offset+iso,0.02,55,maxEv,8,391.1,15739,3
gbm+iso,0.01,55,mostBooks,8,383.4,18529,2
box+gbm+iso,0.0,55,mostBooks,8,383.1,20579,3
compact+gbm,0.02,55,maxEv,8,378.3,15225,2
gbm+offset+iso,0.0,55,mostBooks,8,378.2,20432,3
gbm+iso,0.02,55,mostBooks,8,375.3,16475,2
gbm+offset+iso,0.01,55,maxEv,8,370.1,18030,3
box+gbm+offset,0.01,55,maxEv,8,369.0,18289,3
box+gbm+offset,0.04,55,maxEv,8,361.0,11689,3
price+gbm+iso,0.02,55,mostBooks,8,360.5,13814,3
gbm+offset,0.04,55,mostBooks,8,357.0,11958,2
compact+gbm+offset,0.01,55,maxEv,8,356.0,17441,3
box+gbm,0.04,55,mostBooks,8,355.1,12153,2
box+gbm+offset,0.0,55,maxEv,8,352.2,20805,3
compact+gbm,0.02,55,mostBooks,8,351.7,15223,2
price+gbm+iso,0.01,55,mostBooks,8,349.5,16456,3
compact+gbm+offset,0.0,55,maxEv,8,348.9,20360,3
