market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_filtered,both,94209,-9.68,4.6,2172,7.12,3.54,154.6,PASS,2266,6.48,PASS,748,2.87,2025-05-19,1424,60.88,9.35,4.69,4.51,133.2,851,PASS,graded n=1424 >= 500 and ROI 9.35% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_filtered,both,71864,-12.86,-3.03,2106,2.09,-1.17,44.0,PASS,2226,1.78,PASS,1346,3.04,2025-06-18,760,61.84,0.41,-4.95,-5.27,3.1,426,PASS,graded n=760 >= 500 and ROI 0.41% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_pass,under,6259,-5.71,-9.05,597,-1.21,-8.77,-7.2,FAIL,800,-2.24,FAIL,342,6.8,2025-06-08,255,45.49,-11.96,-24.18,-24.18,-30.5,255,FAIL,graded n=255 < 500 and ROI CI lower bound -24.18% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_pass,over,5685,-2.64,2.85,1170,4.91,0.12,57.5,PASS,1297,4.2,PASS,577,7.56,2025-06-10,593,62.06,2.33,-4.1,-4.1,13.8,593,PASS,graded n=593 >= 500 and ROI 2.33% > 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_filtered,under,88372,-11.06,1.63,6839,3.42,1.45,234.0,PASS,7134,3.31,PASS,3076,2.82,2025-06-15,3763,59.71,3.91,1.28,0.97,147.1,1239,PASS,graded n=3763 >= 500 and ROI 3.91% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,price+gbm+iso,0.02,55,maxEv,ev_filtered,both,57013,-16.07,3.87,19,-26.61,-59.65,-5.1,FAIL,22,-29.68,FAIL,7,-12.48,2025-05-11,12,41.67,-34.86,-74.56,-74.56,-4.2,12,FAIL,graded n=12 < 500 and ROI CI lower bound -74.56% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,price+gbm+iso,0.02,55,maxEv,ev_filtered,over,19447,-4.94,-10.0,620,3.52,-3.48,21.8,PASS,690,2.59,PASS,295,4.21,2025-06-30,325,58.77,2.9,-6.95,-6.06,9.4,305,FAIL,graded n=325 < 500 and ROI CI lower bound -6.95% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_pass,over,4504,-0.16,-6.15,994,-1.23,-6.51,-12.2,FAIL,1105,-0.28,FAIL,581,2.36,2025-06-14,413,54.72,-6.28,-14.73,-14.73,-25.9,413,FAIL,graded n=413 < 500 and ROI CI lower bound -14.73% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,price+gbm+iso,0.02,55,maxEv,ev_filtered,under,31012,-11.52,-0.47,4840,1.38,-1.0,67.0,PASS,5176,1.08,PASS,3372,2.74,2024-06-28,1468,58.24,-1.73,-5.9,-7.44,-25.4,353,FAIL,graded n=1468 >= 500 but ROI -1.73% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,price+gbm+iso,0.02,55,maxEv,ev_filtered,under,6686,-3.44,-5.12,512,5.59,-1.82,28.6,PASS,547,6.72,PASS,358,3.59,2025-07-07,154,63.64,10.25,-2.74,-2.96,15.8,142,FAIL,graded n=154 < 500 and ROI CI lower bound -2.74% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,price+gbm+iso,0.02,55,maxEv,ev_filtered,under,27835,-12.13,1.61,1829,4.68,0.98,85.6,PASS,1891,5.05,PASS,1168,8.17,2024-06-19,661,58.55,-1.5,-7.84,-7.61,-9.9,347,FAIL,graded n=661 >= 500 but ROI -1.50% <= 0%
