arm,innerCut,market,spec,nMembers,tau,collapse,side,aN,aUnits,aPass,bN,bRoi,bUnits
off,0.5,batter_hits,price,1,0.0,maxEv,both,168,14.93,0,87,0.722,0.63
off,0.6,batter_hits,price,1,0.0,maxEv,both,193,5.32,0,62,16.505,10.23
off,0.7,batter_hits,price,1,0.0,maxEv,both,206,8.03,0,49,15.349,7.52
off,0.5,batter_hits,price,1,0.01,maxEv,both,46,-0.09,0,28,-7.401,-2.07
off,0.6,batter_hits,price,1,0.01,maxEv,both,53,-2.39,0,21,1.088,0.23
off,0.7,batter_hits,price,1,0.01,maxEv,both,57,-3.2,0,17,6.095,1.04
off,0.5,batter_hits,price,1,0.02,maxEv,both,12,0.8,0,17,-16.018,-2.72
off,0.6,batter_hits,price,1,0.02,maxEv,both,15,0.86,0,14,-19.895,-2.79
off,0.7,batter_hits,price,1,0.02,maxEv,both,17,0.37,0,12,-19.065,-2.29
off,0.5,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
off,0.6,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
off,0.7,batter_hits,price,1,0.04,maxEv,both,3,-1.46,0,4,-61.486,-2.46
off,0.5,batter_hits,price,1,0.0,mostBooks,both,168,14.82,0,87,0.722,0.63
off,0.6,batter_hits,price,1,0.0,mostBooks,both,193,5.21,0,62,16.505,10.23
off,0.7,batter_hits,price,1,0.0,mostBooks,both,206,7.92,0,49,15.349,7.52
off,0.5,batter_hits,price,1,0.01,mostBooks,both,46,-0.09,0,28,-7.401,-2.07
off,0.6,batter_hits,price,1,0.01,mostBooks,both,53,-2.39,0,21,1.088,0.23
off,0.7,batter_hits,price,1,0.01,mostBooks,both,57,-3.2,0,17,6.095,1.04
off,0.5,batter_hits,price,1,0.02,mostBooks,both,12,0.8,0,17,-16.018,-2.72
off,0.6,batter_hits,price,1,0.02,mostBooks,both,15,0.86,0,14,-19.895,-2.79
off,0.7,batter_hits,price,1,0.02,mostBooks,both,17,0.37,0,12,-19.065,-2.29
off,0.5,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
off,0.6,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
off,0.7,batter_hits,price,1,0.04,mostBooks,both,3,-1.46,0,4,-61.486,-2.46
on,0.5,batter_hits,price,1,0.0,maxEv,both,168,14.93,0,87,0.722,0.63
on,0.6,batter_hits,price,1,0.0,maxEv,both,193,5.32,0,62,16.505,10.23
on,0.7,batter_hits,price,1,0.0,maxEv,both,206,8.03,0,49,15.349,7.52
on,0.5,batter_hits,price,1,0.01,maxEv,both,46,-0.09,0,28,-7.401,-2.07
on,0.6,batter_hits,price,1,0.01,maxEv,both,53,-2.39,0,21,1.088,0.23
on,0.7,batter_hits,price,1,0.01,maxEv,both,57,-3.2,0,17,6.095,1.04
on,0.5,batter_hits,price,1,0.02,maxEv,both,12,0.8,0,17,-16.018,-2.72
on,0.6,batter_hits,price,1,0.02,maxEv,both,15,0.86,0,14,-19.895,-2.79
on,0.7,batter_hits,price,1,0.02,maxEv,both,17,0.37,0,12,-19.065,-2.29
on,0.5,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
on,0.6,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
on,0.7,batter_hits,price,1,0.04,maxEv,both,3,-1.46,0,4,-61.486,-2.46
on,0.5,batter_hits,price,1,0.0,mostBooks,both,168,14.82,0,87,0.722,0.63
on,0.6,batter_hits,price,1,0.0,mostBooks,both,193,5.21,0,62,16.505,10.23
on,0.7,batter_hits,price,1,0.0,mostBooks,both,206,7.92,0,49,15.349,7.52
on,0.5,batter_hits,price,1,0.01,mostBooks,both,46,-0.09,0,28,-7.401,-2.07
on,0.6,batter_hits,price,1,0.01,mostBooks,both,53,-2.39,0,21,1.088,0.23
on,0.7,batter_hits,price,1,0.01,mostBooks,both,57,-3.2,0,17,6.095,1.04
on,0.5,batter_hits,price,1,0.02,mostBooks,both,12,0.8,0,17,-16.018,-2.72
on,0.6,batter_hits,price,1,0.02,mostBooks,both,15,0.86,0,14,-19.895,-2.79
on,0.7,batter_hits,price,1,0.02,mostBooks,both,17,0.37,0,12,-19.065,-2.29
on,0.5,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
on,0.6,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
on,0.7,batter_hits,price,1,0.04,mostBooks,both,3,-1.46,0,4,-61.486,-2.46
off,0.5,batter_hits,compact,1,0.0,maxEv,both,249,-1.54,0,256,6.734,17.24
off,0.6,batter_hits,compact,1,0.0,maxEv,both,290,-2.68,0,215,8.546,18.37
off,0.7,batter_hits,compact,1,0.0,maxEv,under,251,13.91,0,135,11.031,14.89
off,0.5,batter_hits,compact,1,0.01,maxEv,both,196,8.06,0,203,8.436,17.12
off,0.6,batter_hits,compact,1,0.01,maxEv,both,227,7.66,0,172,10.189,17.53
off,0.7,batter_hits,compact,1,0.01,maxEv,both,258,17.77,0,141,5.255,7.41
off,0.5,batter_hits,compact,1,0.02,maxEv,both,160,11.61,0,152,14.667,22.29
off,0.6,batter_hits,compact,1,0.02,maxEv,both,181,11.45,0,131,17.145,22.46
off,0.7,batter_hits,compact,1,0.02,maxEv,both,206,19.8,0,106,13.306,14.1
off,0.5,batter_hits,compact,1,0.04,maxEv,both,102,12.14,0,100,12.265,12.27
off,0.6,batter_hits,compact,1,0.04,maxEv,both,114,10.08,0,88,16.279,14.33
off,0.7,batter_hits,compact,1,0.04,maxEv,both,129,14.35,0,73,13.777,10.06
off,0.5,batter_hits,compact,1,0.0,mostBooks,both,249,-1.71,0,256,6.783,17.36
off,0.6,batter_hits,compact,1,0.0,mostBooks,both,290,-2.84,0,215,8.605,18.5
off,0.7,batter_hits,compact,1,0.0,mostBooks,under,251,13.75,0,135,11.124,15.02
off,0.5,batter_hits,compact,1,0.01,mostBooks,both,196,8.01,0,203,8.498,17.25
off,0.6,batter_hits,compact,1,0.01,mostBooks,both,227,7.61,0,172,10.262,17.65
off,0.7,batter_hits,compact,1,0.01,mostBooks,both,258,17.73,0,141,5.345,7.54
off,0.5,batter_hits,compact,1,0.02,mostBooks,both,160,11.61,0,152,14.667,22.29
off,0.6,batter_hits,compact,1,0.02,mostBooks,both,181,11.45,0,131,17.145,22.46
off,0.7,batter_hits,compact,1,0.02,mostBooks,both,206,19.8,0,106,13.306,14.1
off,0.5,batter_hits,compact,1,0.04,mostBooks,both,102,12.14,0,100,12.265,12.27
off,0.6,batter_hits,compact,1,0.04,mostBooks,both,114,10.08,0,88,16.279,14.33
off,0.7,batter_hits,compact,1,0.04,mostBooks,both,129,14.35,0,73,13.777,10.06
on,0.5,batter_hits,compact,1,0.0,maxEv,both,200,6.39,0,162,11.205,18.15
on,0.6,batter_hits,compact,1,0.0,maxEv,both,226,3.93,0,136,15.158,20.61
on,0.7,batter_hits,compact,1,0.0,maxEv,both,256,8.51,0,106,15.122,16.03
on,0.5,batter_hits,compact,1,0.01,maxEv,both,126,4.28,0,103,18.694,19.26
on,0.6,batter_hits,compact,1,0.01,maxEv,both,143,4.5,0,86,22.131,19.03
on,0.7,batter_hits,compact,1,0.01,maxEv,both,159,11.15,0,70,17.697,12.39
on,0.5,batter_hits,compact,1,0.02,maxEv,both,96,-2.86,0,74,13.945,10.32
on,0.6,batter_hits,compact,1,0.02,maxEv,both,107,-4.32,0,63,18.71,11.79
on,0.7,batter_hits,compact,1,0.02,maxEv,both,116,-1.96,0,54,17.456,9.43
on,0.5,batter_hits,compact,1,0.04,maxEv,both,44,0.44,0,31,2.917,0.9
on,0.6,batter_hits,compact,1,0.04,maxEv,both,49,-1.37,0,26,10.454,2.72
on,0.7,batter_hits,compact,1,0.04,maxEv,both,52,0.64,0,23,3.056,0.7
on,0.5,batter_hits,compact,1,0.0,mostBooks,both,200,6.16,0,162,11.205,18.15
on,0.6,batter_hits,compact,1,0.0,mostBooks,both,226,3.7,0,136,15.158,20.61
on,0.7,batter_hits,compact,1,0.0,mostBooks,both,256,8.28,0,106,15.122,16.03
on,0.5,batter_hits,compact,1,0.01,mostBooks,both,126,4.23,0,103,18.694,19.26
on,0.6,batter_hits,compact,1,0.01,mostBooks,both,143,4.46,0,86,22.131,19.03
on,0.7,batter_hits,compact,1,0.01,mostBooks,both,159,11.1,0,70,17.697,12.39
on,0.5,batter_hits,compact,1,0.02,mostBooks,both,96,-2.86,0,74,13.945,10.32
on,0.6,batter_hits,compact,1,0.02,mostBooks,both,107,-4.32,0,63,18.71,11.79
on,0.7,batter_hits,compact,1,0.02,mostBooks,both,116,-1.96,0,54,17.456,9.43
on,0.5,batter_hits,compact,1,0.04,mostBooks,both,44,0.44,0,31,2.917,0.9
on,0.6,batter_hits,compact,1,0.04,mostBooks,both,49,-1.37,0,26,10.454,2.72
on,0.7,batter_hits,compact,1,0.04,mostBooks,both,52,0.64,0,23,3.056,0.7
off,0.5,batter_hits,box,1,0.0,maxEv,both,396,-7.8,0,344,8.036,27.64
off,0.6,batter_hits,box,1,0.0,maxEv,under,279,-1.65,0,220,14.64,32.21
off,0.7,batter_hits,box,1,0.0,maxEv,under,309,3.08,0,190,14.465,27.48
off,0.5,batter_hits,box,1,0.01,maxEv,both,305,0.14,0,279,7.652,21.35
off,0.6,batter_hits,box,1,0.01,maxEv,under,259,1.31,0,202,13.156,26.57
off,0.7,batter_hits,box,1,0.01,maxEv,under,287,4.86,0,174,13.233,23.02
off,0.5,batter_hits,box,1,0.02,maxEv,both,247,7.9,0,232,9.994,23.19
off,0.6,batter_hits,box,1,0.02,maxEv,both,281,7.56,0,198,11.878,23.52
off,0.7,batter_hits,box,1,0.02,maxEv,both,310,10.94,0,169,11.918,20.14
off,0.5,batter_hits,box,1,0.04,maxEv,both,179,3.87,0,191,12.033,22.98
off,0.6,batter_hits,box,1,0.04,maxEv,both,205,1.99,0,165,15.072,24.87
off,0.7,batter_hits,box,1,0.04,maxEv,both,223,2.42,0,147,16.623,24.44
off,0.5,batter_hits,box,1,0.0,mostBooks,both,396,-7.96,0,344,8.022,27.6
off,0.6,batter_hits,box,1,0.0,mostBooks,under,279,-1.76,0,220,14.627,32.18
off,0.7,batter_hits,box,1,0.0,mostBooks,under,309,2.97,0,190,14.45,27.46
off,0.5,batter_hits,box,1,0.01,mostBooks,both,305,-0.02,0,279,7.642,21.32
off,0.6,batter_hits,box,1,0.01,mostBooks,under,259,1.2,0,202,13.142,26.55
off,0.7,batter_hits,box,1,0.01,mostBooks,under,287,4.75,0,174,13.217,23.0
off,0.5,batter_hits,box,1,0.02,mostBooks,both,247,7.8,0,232,9.982,23.16
off,0.6,batter_hits,box,1,0.02,mostBooks,both,281,7.47,0,198,11.865,23.49
off,0.7,batter_hits,box,1,0.02,mostBooks,both,310,10.85,0,169,11.902,20.11
off,0.5,batter_hits,box,1,0.04,mostBooks,both,179,3.87,0,191,12.019,22.96
off,0.6,batter_hits,box,1,0.04,mostBooks,both,205,1.99,0,165,15.055,24.84
off,0.7,batter_hits,box,1,0.04,mostBooks,both,223,2.42,0,147,16.604,24.41
on,0.5,batter_hits,box,1,0.0,maxEv,both,206,10.82,0,184,7.645,14.07
on,0.6,batter_hits,box,1,0.0,maxEv,both,238,9.62,0,152,10.043,15.27
on,0.7,batter_hits,box,1,0.0,maxEv,both,264,14.47,0,126,8.271,10.42
on,0.5,batter_hits,box,1,0.01,maxEv,both,159,8.27,0,147,5.017,7.37
on,0.6,batter_hits,box,1,0.01,maxEv,both,184,8.06,0,122,6.217,7.58
on,0.7,batter_hits,box,1,0.01,maxEv,both,204,9.37,0,102,6.159,6.28
on,0.5,batter_hits,box,1,0.02,maxEv,both,119,1.58,0,120,7.559,9.07
on,0.6,batter_hits,box,1,0.02,maxEv,both,139,6.37,0,100,4.281,4.28
on,0.7,batter_hits,box,1,0.02,maxEv,both,155,5.28,0,84,6.389,5.37
on,0.5,batter_hits,box,1,0.04,maxEv,both,75,-1.78,0,77,-1.846,-1.42
on,0.6,batter_hits,box,1,0.04,maxEv,both,86,-0.88,0,66,-3.512,-2.32
on,0.7,batter_hits,box,1,0.04,maxEv,both,92,-3.46,0,60,0.439,0.26
on,0.5,batter_hits,box,1,0.0,mostBooks,both,206,10.71,0,184,7.645,14.07
on,0.6,batter_hits,box,1,0.0,mostBooks,both,238,9.51,0,152,10.043,15.27
on,0.7,batter_hits,box,1,0.0,mostBooks,both,264,14.36,0,126,8.271,10.42
on,0.5,batter_hits,box,1,0.01,mostBooks,both,159,8.23,0,147,5.017,7.37
on,0.6,batter_hits,box,1,0.01,mostBooks,both,184,8.02,0,122,6.217,7.58
on,0.7,batter_hits,box,1,0.01,mostBooks,both,204,9.32,0,102,6.159,6.28
on,0.5,batter_hits,box,1,0.02,mostBooks,both,119,1.53,0,120,7.559,9.07
on,0.6,batter_hits,box,1,0.02,mostBooks,both,139,6.32,0,100,4.281,4.28
on,0.7,batter_hits,box,1,0.02,mostBooks,both,155,5.24,0,84,6.389,5.37
on,0.5,batter_hits,box,1,0.04,mostBooks,both,75,-1.78,0,77,-1.846,-1.42
on,0.6,batter_hits,box,1,0.04,mostBooks,both,86,-0.88,0,66,-3.512,-2.32
on,0.7,batter_hits,box,1,0.04,mostBooks,both,92,-3.46,0,60,0.439,0.26
off,0.5,batter_hits,gbm,1,0.0,maxEv,under,352,20.69,0,253,14.278,36.12
off,0.6,batter_hits,gbm,1,0.0,maxEv,under,398,13.9,0,207,20.731,42.91
off,0.7,batter_hits,gbm,1,0.0,maxEv,under,427,20.89,0,178,20.181,35.92
off,0.5,batter_hits,gbm,1,0.01,maxEv,under,344,20.89,0,243,13.826,33.6
off,0.6,batter_hits,gbm,1,0.01,maxEv,both,600,14.12,1,345,8.414,29.03
off,0.7,batter_hits,gbm,1,0.01,maxEv,under,414,19.82,0,173,20.04,34.67
off,0.5,batter_hits,gbm,1,0.02,maxEv,both,424,25.27,0,350,9.528,33.35
off,0.6,batter_hits,gbm,1,0.02,maxEv,both,493,15.64,0,281,15.295,42.98
off,0.7,batter_hits,gbm,1,0.02,maxEv,under,395,21.76,0,168,20.725,34.82
off,0.5,batter_hits,gbm,1,0.04,maxEv,under,300,23.31,0,211,14.03,29.6
off,0.6,batter_hits,gbm,1,0.04,maxEv,both,391,14.2,0,208,20.218,42.05
off,0.7,batter_hits,gbm,1,0.04,maxEv,under,358,20.34,0,153,21.293,32.58
off,0.5,batter_hits,gbm,1,0.0,mostBooks,under,352,20.27,0,253,14.184,35.89
off,0.6,batter_hits,gbm,1,0.0,mostBooks,under,398,13.47,0,207,20.616,42.68
off,0.7,batter_hits,gbm,1,0.0,mostBooks,under,427,20.47,0,178,20.048,35.69
off,0.5,batter_hits,gbm,1,0.01,mostBooks,under,344,20.47,0,243,13.728,33.36
off,0.6,batter_hits,gbm,1,0.01,mostBooks,both,600,13.66,1,345,8.345,28.79
off,0.7,batter_hits,gbm,1,0.01,mostBooks,under,414,19.39,0,173,19.903,34.43
off,0.5,batter_hits,gbm,1,0.02,mostBooks,both,424,24.91,0,350,9.437,33.03
off,0.6,batter_hits,gbm,1,0.02,mostBooks,both,493,15.2,0,281,15.211,42.74
off,0.7,batter_hits,gbm,1,0.02,mostBooks,under,395,21.34,0,168,20.584,34.58
off,0.5,batter_hits,gbm,1,0.04,mostBooks,under,300,23.1,0,211,13.918,29.37
off,0.6,batter_hits,gbm,1,0.04,mostBooks,both,391,13.93,0,208,20.104,41.82
off,0.7,batter_hits,gbm,1,0.04,mostBooks,under,358,20.13,0,153,21.137,32.34
on,0.5,batter_hits,gbm,1,0.0,maxEv,both,258,6.27,0,187,5.03,9.41
on,0.6,batter_hits,gbm,1,0.0,maxEv,both,297,-0.04,0,148,10.625,15.72
on,0.7,batter_hits,gbm,1,0.0,maxEv,both,320,3.34,0,125,9.87,12.34
on,0.5,batter_hits,gbm,1,0.01,maxEv,both,217,-0.35,0,159,5.793,9.21
on,0.6,batter_hits,gbm,1,0.01,maxEv,both,249,-7.47,0,127,12.859,16.33
on,0.7,batter_hits,gbm,1,0.01,maxEv,under,257,-3.98,0,108,12.489,13.49
on,0.5,batter_hits,gbm,1,0.02,maxEv,both,185,2.44,0,132,4.807,6.35
on,0.6,batter_hits,gbm,1,0.02,maxEv,both,211,-6.42,0,106,14.351,15.21
on,0.7,batter_hits,gbm,1,0.02,maxEv,both,224,-3.79,0,93,13.528,12.58
on,0.5,batter_hits,gbm,1,0.04,maxEv,both,115,2.87,0,71,5.9,4.19
on,0.6,batter_hits,gbm,1,0.04,maxEv,both,132,-1.68,0,54,16.179,8.74
on,0.7,batter_hits,gbm,1,0.04,maxEv,both,135,-1.53,0,51,16.834,8.59
on,0.5,batter_hits,gbm,1,0.0,mostBooks,both,258,5.95,0,187,4.998,9.35
on,0.6,batter_hits,gbm,1,0.0,mostBooks,both,297,-0.37,0,148,10.584,15.66
on,0.7,batter_hits,gbm,1,0.0,mostBooks,both,320,3.01,0,125,9.822,12.28
on,0.5,batter_hits,gbm,1,0.01,mostBooks,both,217,-0.61,0,159,5.755,9.15
on,0.6,batter_hits,gbm,1,0.01,mostBooks,both,249,-7.73,0,127,12.811,16.27
on,0.7,batter_hits,gbm,1,0.01,mostBooks,under,257,-4.24,0,108,12.433,13.43
on,0.5,batter_hits,gbm,1,0.02,mostBooks,both,185,2.18,0,132,4.762,6.29
on,0.6,batter_hits,gbm,1,0.02,mostBooks,both,211,-6.68,0,106,14.295,15.15
on,0.7,batter_hits,gbm,1,0.02,mostBooks,both,224,-4.05,0,93,13.463,12.52
on,0.5,batter_hits,gbm,1,0.04,mostBooks,both,115,2.87,0,71,5.816,4.13
on,0.6,batter_hits,gbm,1,0.04,mostBooks,both,132,-1.68,0,54,16.068,8.68
on,0.7,batter_hits,gbm,1,0.04,mostBooks,both,135,-1.53,0,51,16.717,8.53
off,0.5,batter_hits,offset,1,0.0,maxEv,both,374,-5.14,0,308,7.605,23.42
off,0.6,batter_hits,offset,1,0.0,maxEv,both,429,-6.35,0,253,9.735,24.63
off,0.7,batter_hits,offset,1,0.0,maxEv,under,271,5.04,0,156,14.049,21.92
off,0.5,batter_hits,offset,1,0.01,maxEv,both,278,-0.89,0,241,10.227,24.65
off,0.6,batter_hits,offset,1,0.01,maxEv,both,319,1.58,0,200,11.089,22.18
off,0.7,batter_hits,offset,1,0.01,maxEv,both,353,7.63,0,166,9.717,16.13
off,0.5,batter_hits,offset,1,0.02,maxEv,both,217,7.41,0,194,13.973,27.11
off,0.6,batter_hits,offset,1,0.02,maxEv,both,243,12.94,0,168,12.847,21.58
off,0.7,batter_hits,offset,1,0.02,maxEv,both,269,17.49,0,142,11.988,17.02
off,0.5,batter_hits,offset,1,0.04,maxEv,both,149,3.24,0,147,14.989,22.03
off,0.6,batter_hits,offset,1,0.04,maxEv,both,166,4.93,0,130,15.656,20.35
off,0.7,batter_hits,offset,1,0.04,maxEv,both,179,5.54,0,117,16.87,19.74
off,0.5,batter_hits,offset,1,0.0,mostBooks,both,374,-5.3,0,308,7.59,23.38
off,0.6,batter_hits,offset,1,0.0,mostBooks,both,429,-6.51,0,253,9.717,24.58
off,0.7,batter_hits,offset,1,0.0,mostBooks,under,271,4.93,0,156,14.031,21.89
off,0.5,batter_hits,offset,1,0.01,mostBooks,both,278,-1.05,0,241,10.215,24.62
off,0.6,batter_hits,offset,1,0.01,mostBooks,both,319,1.42,0,200,11.075,22.15
off,0.7,batter_hits,offset,1,0.01,mostBooks,both,353,7.47,0,166,9.701,16.1
off,0.5,batter_hits,offset,1,0.02,mostBooks,both,217,7.37,0,194,13.959,27.08
off,0.6,batter_hits,offset,1,0.02,mostBooks,both,243,12.89,0,168,12.83,21.55
off,0.7,batter_hits,offset,1,0.02,mostBooks,both,269,17.45,0,142,11.969,17.0
off,0.5,batter_hits,offset,1,0.04,mostBooks,both,149,3.24,0,147,14.97,22.01
off,0.6,batter_hits,offset,1,0.04,mostBooks,both,166,4.93,0,130,15.635,20.33
off,0.7,batter_hits,offset,1,0.04,mostBooks,both,179,5.54,0,117,16.847,19.71
on,0.5,batter_hits,offset,1,0.0,maxEv,both,200,8.5,0,162,10.88,17.63
on,0.6,batter_hits,offset,1,0.0,maxEv,both,227,8.86,0,135,12.792,17.27
on,0.7,batter_hits,offset,1,0.0,maxEv,both,251,12.18,0,111,12.568,13.95
on,0.5,batter_hits,offset,1,0.01,maxEv,both,154,9.7,0,133,8.264,10.99
on,0.6,batter_hits,offset,1,0.01,maxEv,both,177,9.48,0,110,10.183,11.2
on,0.7,batter_hits,offset,1,0.01,maxEv,both,197,10.56,0,90,11.247,10.12
on,0.5,batter_hits,offset,1,0.02,maxEv,both,121,3.53,0,99,13.551,13.42
on,0.6,batter_hits,offset,1,0.02,maxEv,both,136,8.21,0,84,10.401,8.74
on,0.7,batter_hits,offset,1,0.02,maxEv,both,149,6.83,0,71,14.245,10.11
on,0.5,batter_hits,offset,1,0.04,maxEv,both,64,0.79,0,59,2.507,1.48
on,0.6,batter_hits,offset,1,0.04,maxEv,both,72,3.06,0,51,-1.553,-0.79
on,0.7,batter_hits,offset,1,0.04,maxEv,both,76,0.83,0,47,3.061,1.44
on,0.5,batter_hits,offset,1,0.0,mostBooks,both,200,8.39,0,162,10.88,17.63
on,0.6,batter_hits,offset,1,0.0,mostBooks,both,227,8.75,0,135,12.792,17.27
on,0.7,batter_hits,offset,1,0.0,mostBooks,both,251,12.07,0,111,12.568,13.95
on,0.5,batter_hits,offset,1,0.01,mostBooks,both,154,9.65,0,133,8.264,10.99
on,0.6,batter_hits,offset,1,0.01,mostBooks,both,177,9.44,0,110,10.183,11.2
on,0.7,batter_hits,offset,1,0.01,mostBooks,both,197,10.52,0,90,11.247,10.12
on,0.5,batter_hits,offset,1,0.02,mostBooks,both,121,3.49,0,99,13.551,13.42
on,0.6,batter_hits,offset,1,0.02,mostBooks,both,136,8.17,0,84,10.401,8.74
on,0.7,batter_hits,offset,1,0.02,mostBooks,both,149,6.79,0,71,14.245,10.11
on,0.5,batter_hits,offset,1,0.04,mostBooks,both,64,0.79,0,59,2.507,1.48
on,0.6,batter_hits,offset,1,0.04,mostBooks,both,72,3.06,0,51,-1.553,-0.79
on,0.7,batter_hits,offset,1,0.04,mostBooks,both,76,0.83,0,47,3.061,1.44
off,0.5,batter_hits,iso,1,0.0,maxEv,under,263,4.82,0,214,12.919,27.65
off,0.6,batter_hits,iso,1,0.0,maxEv,under,288,5.02,0,189,14.524,27.45
off,0.7,batter_hits,iso,1,0.0,maxEv,under,305,6.9,0,172,14.865,25.57
off,0.5,batter_hits,iso,1,0.01,maxEv,under,250,3.81,0,211,12.38,26.12
off,0.6,batter_hits,iso,1,0.01,maxEv,under,273,2.99,0,188,14.33,26.94
off,0.7,batter_hits,iso,1,0.01,maxEv,under,290,4.88,0,171,14.653,25.06
off,0.5,batter_hits,iso,1,0.02,maxEv,both,478,-12.3,0,325,5.883,19.12
off,0.6,batter_hits,iso,1,0.02,maxEv,under,251,4.92,0,184,13.497,24.83
off,0.7,batter_hits,iso,1,0.02,maxEv,under,268,6.8,0,167,13.743,22.95
off,0.5,batter_hits,iso,1,0.04,maxEv,both,344,-10.14,0,249,10.809,26.91
off,0.6,batter_hits,iso,1,0.04,maxEv,both,376,-7.56,0,217,11.212,24.33
off,0.7,batter_hits,iso,1,0.04,maxEv,both,410,-2.85,0,183,10.724,19.63
off,0.5,batter_hits,iso,1,0.0,mostBooks,under,263,4.71,0,214,12.907,27.62
off,0.6,batter_hits,iso,1,0.0,mostBooks,under,288,4.91,0,189,14.509,27.42
off,0.7,batter_hits,iso,1,0.0,mostBooks,under,305,6.79,0,172,14.849,25.54
off,0.5,batter_hits,iso,1,0.01,mostBooks,under,250,3.7,0,211,12.367,26.09
off,0.6,batter_hits,iso,1,0.01,mostBooks,under,273,2.88,0,188,14.315,26.91
off,0.7,batter_hits,iso,1,0.01,mostBooks,under,290,4.77,0,171,14.637,25.03
off,0.5,batter_hits,iso,1,0.02,mostBooks,both,478,-6.62,0,325,5.496,17.86
off,0.6,batter_hits,iso,1,0.02,mostBooks,under,251,4.81,0,184,13.482,24.81
off,0.7,batter_hits,iso,1,0.02,mostBooks,under,268,6.69,0,167,13.727,22.92
off,0.5,batter_hits,iso,1,0.04,mostBooks,both,344,-8.0,0,249,10.303,25.65
off,0.6,batter_hits,iso,1,0.04,mostBooks,both,376,-6.65,0,217,11.199,24.3
off,0.7,batter_hits,iso,1,0.04,mostBooks,both,410,-1.94,0,183,10.709,19.6
on,0.5,batter_hits,iso,1,0.0,maxEv,both,183,14.45,0,153,7.986,12.22
on,0.6,batter_hits,iso,1,0.0,maxEv,both,210,8.09,0,126,14.745,18.58
on,0.7,batter_hits,iso,1,0.0,maxEv,both,229,9.95,0,107,15.622,16.72
on,0.5,batter_hits,iso,1,0.01,maxEv,both,59,-0.51,0,93,7.76,7.22
on,0.6,batter_hits,iso,1,0.01,maxEv,both,71,-2.79,0,81,11.717,9.49
on,0.7,batter_hits,iso,1,0.01,maxEv,both,82,-1.93,0,70,12.335,8.63
on,0.5,batter_hits,iso,1,0.02,maxEv,both,24,1.47,0,53,20.125,10.67
on,0.6,batter_hits,iso,1,0.02,maxEv,both,31,2.55,0,46,20.821,9.58
on,0.7,batter_hits,iso,1,0.02,maxEv,both,37,2.14,0,40,24.975,9.99
on,0.5,batter_hits,iso,1,0.04,maxEv,both,8,1.29,0,16,-0.066,-0.01
on,0.6,batter_hits,iso,1,0.04,maxEv,both,12,2.31,0,12,-8.642,-1.04
on,0.7,batter_hits,iso,1,0.04,maxEv,both,15,1.77,0,9,-5.526,-0.5
on,0.5,batter_hits,iso,1,0.0,mostBooks,both,183,13.58,0,153,7.188,11.0
on,0.6,batter_hits,iso,1,0.0,mostBooks,both,210,5.99,0,126,14.745,18.58
on,0.7,batter_hits,iso,1,0.0,mostBooks,both,229,7.86,0,107,15.622,16.72
on,0.5,batter_hits,iso,1,0.01,mostBooks,both,59,-0.54,0,93,6.445,5.99
on,0.6,batter_hits,iso,1,0.01,mostBooks,both,71,-4.03,0,81,11.717,9.49
on,0.7,batter_hits,iso,1,0.01,mostBooks,both,82,-3.18,0,70,12.335,8.63
on,0.5,batter_hits,iso,1,0.02,mostBooks,both,24,1.44,0,53,20.125,10.67
on,0.6,batter_hits,iso,1,0.02,mostBooks,both,31,2.53,0,46,20.821,9.58
on,0.7,batter_hits,iso,1,0.02,mostBooks,both,37,2.12,0,40,24.975,9.99
on,0.5,batter_hits,iso,1,0.04,mostBooks,both,8,1.26,0,16,-0.066,-0.01
on,0.6,batter_hits,iso,1,0.04,mostBooks,both,12,2.29,0,12,-8.642,-1.04
on,0.7,batter_hits,iso,1,0.04,mostBooks,both,15,1.75,0,9,-5.526,-0.5
off,0.5,batter_hits,price+compact,2,0.0,maxEv,both,181,1.58,0,142,15.311,21.74
off,0.6,batter_hits,price+compact,2,0.0,maxEv,both,203,-1.55,0,120,20.728,24.87
off,0.7,batter_hits,price+compact,2,0.0,maxEv,both,227,5.99,0,96,18.051,17.33
off,0.5,batter_hits,price+compact,2,0.01,maxEv,both,135,2.22,0,82,17.449,14.31
off,0.6,batter_hits,price+compact,2,0.01,maxEv,both,147,1.25,0,70,21.82,15.27
off,0.7,batter_hits,price+compact,2,0.01,maxEv,both,160,5.93,0,57,18.589,10.6
off,0.5,batter_hits,price+compact,2,0.02,maxEv,both,75,2.88,0,48,20.97,10.07
off,0.6,batter_hits,price+compact,2,0.02,maxEv,both,83,1.2,0,40,29.354,11.74
off,0.7,batter_hits,price+compact,2,0.02,maxEv,both,88,2.84,0,35,28.861,10.1
