spec,tau,minConf,selectPasses,selectUnits,selectN,nMembers
compact+offset+iso,0.01,55,6,170.5,17037,3
price+compact+gbm,0.01,0,6,168.7,49902,3
compact+box+iso,0.01,55,6,168.5,17237,3
box+offset,0.04,55,6,164.5,11671,2
box+offset+iso,0.01,0,6,163.1,47048,3
gbm+offset,0.02,55,6,160.8,16394,2
compact+box+iso,0.01,0,6,158.5,45656,3
compact+offset,0.01,55,6,158.0,17658,2
price+offset+iso,0.01,0,6,157.6,45393,3
box+gbm+iso,0.04,0,6,157.1,29579,3
box,0.04,55,6,156.3,12027,1
compact+offset+iso,0.0,0,6,156.3,52720,3
price+gbm,0.01,0,6,155.9,50449,2
compact+box+offset,0.04,55,6,155.0,9958,3
compact+offset+iso,0.01,0,6,152.2,45532,3
price+box+iso,0.01,0,6,151.1,45504,3
compact+box,0.02,60,6,149.4,9290,2
compact+offset+iso,0.02,0,6,148.9,38418,3
compact+box+offset,0.0,60,6,147.4,15350,3
box+gbm,0.02,55,6,145.9,16752,2
gbm,0.04,55,6,144.7,13916,1
price+box,0.02,60,6,144.7,8565,2
offset,0.04,55,6,143.9,11425,1
compact+box+gbm,0.02,60,6,143.0,9951,3
price+compact+iso,0.04,0,6,141.7,20274,3
offset,0.02,55,6,141.5,16706,1
box+gbm+iso,0.02,55,6,141.1,15589,3
gbm,0.01,60,6,140.1,15071,1
price+box+offset,0.02,55,6,138.7,14721,3
price+offset,0.02,60,6,134.8,8275,2
compact+gbm,0.04,60,6,133.0,6347,2
price+compact+iso,0.01,0,6,132.2,44358,3
price+compact+offset,0.01,55,6,131.7,16847,3
compact+gbm+offset,0.02,60,6,130.6,9781,3
price+gbm+offset,0.02,55,6,128.3,14133,3
price+offset+iso,0.0,0,6,127.0,53323,3
compact+box+iso,0.02,55,6,126.3,14307,3
compact+gbm+offset,0.0,0,6,125.9,56458,3
box+gbm+offset,0.02,60,6,125.5,11397,3
box+gbm,0.04,60,6,123.8,7903,2
offset,0.02,60,6,121.4,11404,1
price+gbm+iso,0.04,55,6,121.1,8765,3
price+gbm+iso,0.02,55,6,116.0,13470,3
compact+offset+iso,0.04,0,6,113.8,25814,3
price+box+offset,0.04,55,6,112.1,8634,3
compact+gbm,0.02,60,6,111.6,10119,2
compact+gbm+offset,0.01,55,6,110.5,17814,3
compact+box+gbm,0.0,0,6,109.8,56579,3
compact+offset+iso,0.02,55,6,109.4,14107,3
price+box+offset,0.02,60,6,108.6,9440,3
box+gbm+iso,0.0,55,6,108.5,21001,3
compact+box+gbm,0.01,55,6,106.9,18104,3
compact+offset,0.0,55,6,106.6,21419,2
box+offset,0.01,55,6,106.0,20157,2
box+gbm+offset,0.04,60,6,105.2,7441,3
box+offset,0.04,60,6,103.7,7667,2
gbm,0.02,60,6,102.7,13276,1
box+gbm,0.0,55,6,101.6,22585,2
box,0.01,55,6,101.2,20499,1
price+box+iso,0.0,0,6,100.6,53443,3
compact+gbm,0.04,0,6,100.0,26997,2
gbm+offset,0.04,60,6,99.4,7704,2
gbm+iso,0.0,55,6,97.0,20427,2
price+box+gbm,0.02,60,6,95.3,9492,3
price+gbm+offset,0.04,60,6,95.0,5033,3
price+box+gbm,0.04,60,6,94.3,5130,3
compact+gbm,0.02,0,6,93.9,41862,2
compact+box+iso,0.04,0,6,93.5,25909,3
offset,0.04,60,6,92.3,7474,1
price+compact+iso,0.0,0,6,90.7,53313,3
