spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
box+iso,0.02,60,maxEv,6,71.4,12987,2
box+iso,0.02,60,mostBooks,6,70.4,12986,2
box+iso,0.01,60,maxEv,6,58.8,15505,2
box+offset,0.02,60,mostBooks,6,58.4,13800,2
price+box+iso,0.0,60,maxEv,6,57.9,16635,3
box+iso,0.0,60,mostBooks,6,55.9,18311,2
box+iso,0.01,60,mostBooks,6,55.4,15505,2
gbm+iso,0.0,60,maxEv,6,53.9,18533,2
price+box+iso,0.0,60,mostBooks,6,51.7,16635,3
gbm+iso,0.0,60,mostBooks,6,43.6,18533,2
price+gbm,0.0,60,mostBooks,6,41.5,18345,2
price+gbm,0.0,60,maxEv,6,41.1,18345,2
price+offset+iso,0.0,60,maxEv,6,39.2,16515,3
price+offset+iso,0.01,60,mostBooks,6,34.8,13003,3
price+offset+iso,0.01,60,maxEv,6,34.3,13003,3
price+box+iso,0.01,60,maxEv,6,17.9,13084,3
price+box+iso,0.01,60,mostBooks,6,15.4,13084,3
gbm+iso,0.01,60,maxEv,6,1.9,15847,2
iso,0.02,60,mostBooks,6,-2.1,14522,1
gbm+iso,0.01,60,mostBooks,6,-8.0,15847,2
compact+gbm+iso,0.04,60,maxEv,5,224.4,7506,3
compact+gbm+iso,0.04,60,mostBooks,5,217.8,7506,3
price+gbm+offset,0.04,60,mostBooks,5,184.3,5924,3
price+gbm+offset,0.04,60,maxEv,5,177.7,5925,3
price+box+gbm,0.04,60,mostBooks,5,169.9,6256,3
price+gbm+iso,0.04,60,maxEv,5,161.6,6312,3
box+iso,0.04,60,maxEv,5,160.7,9118,2
price+gbm+iso,0.04,60,mostBooks,5,158.2,6312,3
box+iso,0.04,60,mostBooks,5,157.3,9117,2
compact+gbm,0.0,60,maxEv,5,134.8,18989,2
compact+offset,0.04,60,maxEv,5,131.7,7165,2
compact+gbm+offset,0.0,60,mostBooks,5,130.5,18416,3
compact+gbm,0.0,60,mostBooks,5,129.8,18988,2
compact+gbm+offset,0.0,60,maxEv,5,128.2,18416,3
price+gbm,0.02,60,mostBooks,5,128.1,11358,2
compact+gbm+offset,0.02,60,mostBooks,5,122.7,12341,3
compact+box+gbm,0.0,60,maxEv,5,121.9,18525,3
price+gbm,0.02,60,maxEv,5,121.8,11358,2
compact+gbm+offset,0.02,60,maxEv,5,121.1,12342,3
compact+box+gbm,0.02,60,maxEv,5,120.8,12448,3
compact+box+gbm,0.02,60,mostBooks,5,120.6,12447,3
compact+box+gbm,0.0,60,mostBooks,5,120.1,18524,3
price+box+gbm,0.0,60,maxEv,5,116.9,17845,3
compact+box,0.04,60,maxEv,5,111.2,7275,2
price+box+offset,0.02,60,maxEv,5,109.4,10539,3
compact+offset+iso,0.02,60,maxEv,5,105.2,11401,3
compact+offset+iso,0.04,60,maxEv,5,103.8,7291,3
price+box+offset,0.02,60,mostBooks,5,102.5,10539,3
price+offset+iso,0.02,60,mostBooks,5,98.8,10034,3
price+offset+iso,0.02,60,maxEv,5,97.2,10035,3
price+box,0.01,60,maxEv,5,96.5,12864,2
price+gbm+offset,0.01,60,mostBooks,5,93.9,14028,3
compact+offset+iso,0.02,60,mostBooks,5,93.4,11400,3
compact+offset+iso,0.04,60,mostBooks,5,93.1,7290,3
price+box,0.01,60,mostBooks,5,92.9,12864,2
price+box+gbm,0.01,60,mostBooks,5,91.3,14157,3
compact+iso,0.04,60,maxEv,5,91.0,7057,2
compact+offset+iso,0.01,60,maxEv,5,90.8,14184,3
compact+box,0.04,60,mostBooks,5,90.7,7274,2
compact+iso,0.04,60,mostBooks,5,90.7,7056,2
compact+box+iso,0.02,60,maxEv,5,90.1,11471,3
compact+offset+iso,0.0,60,maxEv,5,89.6,17231,3
price+box+offset,0.01,60,maxEv,5,89.5,13878,3
compact+iso,0.02,60,maxEv,5,88.2,11082,2
price+box+iso,0.02,60,maxEv,5,87.8,10149,3
price+gbm+offset,0.01,60,maxEv,5,87.1,14029,3
compact+iso,0.02,60,mostBooks,5,87.0,11081,2
price+box+iso,0.02,60,mostBooks,5,86.3,10148,3
box+gbm+offset,0.02,60,mostBooks,5,84.6,13492,3
compact+box,0.02,60,maxEv,5,84.0,11889,2
price+box+offset,0.01,60,mostBooks,5,83.5,13878,3
price+box+offset,0.04,60,maxEv,5,82.4,5964,3
box+gbm+offset,0.02,60,maxEv,5,81.8,13493,3
compact+box+iso,0.02,60,mostBooks,5,81.1,11470,3
offset+iso,0.02,60,maxEv,5,80.7,12844,2
compact+box+iso,0.04,60,maxEv,5,80.0,7366,3
compact+offset+iso,0.0,60,mostBooks,5,78.8,17231,3
offset+iso,0.0,60,maxEv,5,77.8,18183,2
compact+offset+iso,0.01,60,mostBooks,5,77.4,14184,3
price+box+offset,0.04,60,mostBooks,5,76.5,5963,3
compact+box+offset,0.04,60,maxEv,5,74.8,7872,3
compact+offset,0.01,60,maxEv,5,74.5,14734,2
compact+box+iso,0.0,60,maxEv,5,73.2,17324,3
compact+box+iso,0.04,60,mostBooks,5,72.3,7365,3
iso,0.04,60,maxEv,5,72.0,10597,1
price+compact+box,0.01,60,mostBooks,5,66.4,12955,3
compact+box,0.02,60,mostBooks,5,65.7,11889,2
box+offset+iso,0.0,60,maxEv,5,64.2,18394,3
compact+box+offset,0.04,60,mostBooks,5,63.9,7871,3
compact+box,0.01,60,maxEv,5,63.7,14876,2
price+box+offset,0.0,60,maxEv,5,63.4,17591,3
box+offset,0.02,60,maxEv,5,62.4,13800,2
compact+box+iso,0.0,60,mostBooks,5,60.6,17324,3
box+iso,0.0,60,maxEv,5,59.7,18311,2
iso,0.04,60,mostBooks,5,59.4,10597,1
box+offset+iso,0.0,60,mostBooks,5,55.8,18394,3
compact+box+iso,0.01,60,maxEv,5,55.4,14255,3
price+gbm+iso,0.0,60,maxEv,5,53.3,16630,3
offset,0.02,60,maxEv,5,50.3,13678,1
offset,0.02,60,mostBooks,5,47.6,13678,1
compact+box,0.01,60,mostBooks,5,46.2,14876,2
box,0.02,60,maxEv,5,45.3,14019,1
compact+offset,0.0,60,maxEv,5,44.4,18061,2
compact+box+iso,0.01,60,mostBooks,5,43.2,14255,3
box,0.02,60,mostBooks,5,42.7,14019,1
price+gbm+iso,0.0,60,mostBooks,5,42.3,16630,3
compact+box,0.0,60,maxEv,5,40.3,18217,2
price+offset+iso,0.0,60,mostBooks,5,34.9,16515,3
compact+iso,0.01,60,maxEv,5,33.3,13827,2
compact+iso,0.01,60,mostBooks,5,31.9,13826,2
compact+iso,0.0,60,mostBooks,5,25.2,16930,2
