innerCut,rule,market,spec,tau,minConf,collapse,side,n,roi,units
0.6,baseline+gameEV,batter_runs_scored,compact+gbm+iso,0.02,0,mostBooks,under,1408,4.09,57.5
0.6,baseline+gameEV,pitcher_outs,compact+gbm+iso,0.02,0,mostBooks,both,428,-1.76,-7.5
0.6,baseline+gameEV,batter_strikeouts,compact+gbm+iso,0.02,0,mostBooks,both,1229,7.69,94.5
0.6,baseline@conf60,batter_hits,gbm,0.0,60,maxEv,under,207,20.73,42.9
0.6,baseline@conf60,batter_rbis,gbm,0.0,60,maxEv,both,732,5.81,42.5
0.6,baseline@conf60,totals,gbm,0.0,60,maxEv,both,206,-1.12,-2.3
0.6,baseline@conf60,spreads,gbm,0.0,60,maxEv,over,229,1.1,2.5
0.6,baseline@conf60,batter_total_bases,gbm,0.0,60,maxEv,under,1460,4.36,63.7
0.6,baseline@conf60,batter_home_runs,gbm,0.0,60,maxEv,both,2,-23.68,-0.5
0.6,baseline@conf60,pitcher_strikeouts,gbm,0.0,60,maxEv,both,445,-2.82,-12.5
0.6,baseline@conf60,h2h,gbm,0.0,60,maxEv,both,268,3.27,8.8
0.6,baseline@conf60,batter_runs_scored,gbm,0.0,60,maxEv,both,1362,2.8,38.2
0.6,baseline@conf60,pitcher_outs,gbm,0.0,60,maxEv,under,210,-8.16,-17.1
0.6,baseline@conf60,batter_strikeouts,gbm,0.0,60,maxEv,under,368,10.27,37.8
0.6,v2,batter_hits,compact+gbm+iso,0.04,45,maxEv,both,2116,5.47,115.8
0.6,v2,batter_rbis,compact+gbm+iso,0.04,45,maxEv,both,227,11.42,25.9
0.6,v2,totals,compact+gbm+iso,0.04,45,maxEv,both,302,7.44,22.5
0.6,v2,spreads,compact+gbm+iso,0.04,45,maxEv,both,348,0.87,3.0
0.6,v2,batter_total_bases,compact+gbm+iso,0.04,45,maxEv,both,1958,6.45,126.3
0.6,v2,batter_home_runs,compact+gbm+iso,0.04,45,maxEv,both,7,133.52,9.3
0.6,v2,pitcher_strikeouts,compact+gbm+iso,0.04,45,maxEv,both,389,-12.62,-49.1
0.6,v2,h2h,compact+gbm+iso,0.04,45,maxEv,both,350,7.02,24.6
0.6,v2,batter_runs_scored,compact+gbm+iso,0.04,45,maxEv,both,955,4.18,40.0
0.6,v2,pitcher_outs,compact+gbm+iso,0.04,45,maxEv,both,302,-1.48,-4.5
0.6,v2,batter_strikeouts,compact+gbm+iso,0.04,45,maxEv,both,351,10.39,36.5
0.7,baseline,batter_hits,compact,0.02,0,maxEv,under,4104,3.08,126.3
0.7,baseline,batter_rbis,compact,0.02,0,maxEv,under,272,0.55,1.5
0.7,baseline,totals,compact,0.02,0,maxEv,over,160,-19.8,-31.7
0.7,baseline,spreads,compact,0.02,0,maxEv,over,361,-3.05,-11.0
0.7,baseline,batter_total_bases,compact,0.02,0,maxEv,both,2553,2.94,75.0
0.7,baseline,batter_home_runs,compact,0.02,0,maxEv,both,233,-11.55,-26.9
0.7,baseline,pitcher_strikeouts,compact,0.02,0,maxEv,under,182,-3.53,-6.4
0.7,baseline,h2h,compact,0.02,0,maxEv,both,442,-1.11,-4.9
0.7,baseline,batter_runs_scored,compact,0.02,0,maxEv,under,1029,1.25,12.9
0.7,baseline,pitcher_outs,compact,0.02,0,maxEv,both,269,-11.21,-30.1
0.7,baseline,batter_strikeouts,compact,0.02,0,maxEv,both,1039,4.4,45.7
0.7,baseline+gameEV,batter_hits,compact,0.0,0,mostBooks,under,5840,1.51,88.0
0.7,baseline+gameEV,batter_rbis,compact,0.0,0,mostBooks,under,460,2.95,13.6
0.7,baseline+gameEV,totals,compact,0.0,0,mostBooks,over,107,-13.77,-14.7
0.7,baseline+gameEV,spreads,compact,0.0,0,mostBooks,both,363,-4.85,-17.6
0.7,baseline+gameEV,batter_total_bases,compact,0.0,0,mostBooks,both,4337,2.28,98.9
0.7,baseline+gameEV,batter_home_runs,compact,0.0,0,mostBooks,both,322,-18.0,-58.0
0.7,baseline+gameEV,pitcher_strikeouts,compact,0.0,0,mostBooks,under,260,-4.02,-10.5
0.7,baseline+gameEV,h2h,compact,0.0,0,mostBooks,over,295,0.3,0.9
0.7,baseline+gameEV,batter_runs_scored,compact,0.0,0,mostBooks,under,1591,-0.09,-1.5
0.7,baseline+gameEV,pitcher_outs,compact,0.0,0,mostBooks,under,100,-12.89,-12.9
0.7,baseline+gameEV,batter_strikeouts,compact,0.0,0,mostBooks,under,1356,3.53,47.9
0.7,baseline@conf60,batter_hits,gbm,0.04,60,maxEv,under,153,21.29,32.6
0.7,baseline@conf60,batter_rbis,gbm,0.04,60,maxEv,both,268,10.0,26.8
0.7,baseline@conf60,totals,gbm,0.04,60,maxEv,over,69,-20.9,-14.4
