market,n,signal,beta,se,zstat
pitcher_outs,6686,parP,-0.0207,0.025,-0.83
pitcher_outs,6686,parPAdj,-0.0101,0.025,-0.41
pitcher_outs,6686,clrEdge25,-0.0231,0.0248,-0.93
pitcher_outs,6686,clrEdge100,-0.0467,0.0249,-1.87
pitcher_outs,6686,oppAllowRel,0.0335,0.0248,1.35
pitcher_outs,6686,parPPark,0.0175,0.0249,0.7
pitcher_outs,6686,parPNb,0.0175,0.0249,0.7
pitcher_outs,6686,parPW,-0.0143,0.0249,-0.57
pitcher_outs,6686,parkRunRel,0.0601,0.0249,2.42
pitcher_outs,6686,parkHrRel,0.0303,0.0248,1.22
pitcher_outs,6686,oppBpKPerBf,-0.024,0.0248,-0.97
pitcher_outs,6686,oppBpRunPerOut,0.0623,0.0249,2.5
pitcher_outs,6686,teamBpOutsPerGame,-0.0001,0.0249,-0.0
pitcher_outs,6686,expOuts,-0.0155,0.0249,-0.63
pitcher_outs,6686,expBf,-0.0018,0.0249,-0.07
pitcher_outs,6686,spKForm,0.0194,0.0251,0.77
pitcher_outs,6686,spPitchPerOut,0.0194,0.0253,0.77
pitcher_outs,6686,oppObp25,0.0262,0.0248,1.06
totals,6259,empP,0.0578,0.0256,2.26
totals,6259,parP,0.0528,0.0256,2.06
totals,6259,expMargin,-0.0198,0.0253,-0.78
totals,6259,parkRunRel,0.0221,0.0253,0.87
totals,6259,parkHrRel,-0.011,0.0253,-0.43
totals,6259,parPSP,0.0483,0.0255,1.9
totals,6259,expTotalSP,-0.0053,0.0253,-0.21
totals,6259,bpRunGap,-0.0292,0.0255,-1.15
totals,6259,hbpRunPerOut,0.0107,0.0254,0.42
totals,6259,abpRunPerOut,-0.0348,0.0255,-1.37
h2h,4504,empP,0.0632,0.0359,1.76
h2h,4504,parP,0.0528,0.0357,1.48
h2h,4504,expMargin,0.068,0.036,1.89
h2h,4504,parkRunRel,-0.0088,0.0307,-0.29
h2h,4504,parkHrRel,-0.0052,0.0307,-0.17
h2h,4504,parPSP,0.0636,0.0351,1.81
h2h,4504,expTotalSP,-0.0015,0.0304,-0.05
h2h,4504,bpRunGap,0.0206,0.0314,0.66
h2h,4504,hbpRunPerOut,-0.0085,0.0309,-0.28
h2h,4504,abpRunPerOut,0.0219,0.0309,0.71
spreads,5685,empP,0.0245,0.0424,0.58
spreads,5685,parP,0.0245,0.0424,0.58
spreads,5685,expMargin,0.013,0.0272,0.48
spreads,5685,parkRunRel,-0.0182,0.0273,-0.67
spreads,5685,parkHrRel,-0.0008,0.0273,-0.03
spreads,5685,parPSP,0.0394,0.0341,1.16
spreads,5685,expTotalSP,-0.0085,0.0272,-0.31
spreads,5685,bpRunGap,0.0133,0.0275,0.48
spreads,5685,hbpRunPerOut,-0.0101,0.0274,-0.37
spreads,5685,abpRunPerOut,0.0127,0.0274,0.46
