market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
pitcher_strikeouts,board VERDICT half,264,58.71,-2.77,-12.84,-12.53,-7.3,245,FAIL,graded n=264 < 500 and ROI CI lower bound -12.84% <= 0%
h2h,"base (every candidate, flat)",5956,53.63,-0.54,-2.89,-2.89,-32.3,5391,FAIL,graded n=5956 >= 500 but ROI -0.54% <= 0%
h2h,price-only (full OOS),902,61.31,-5.11,-9.96,-9.96,-46.0,902,FAIL,graded n=902 >= 500 but ROI -5.11% <= 0%
h2h,board (full OOS),1269,59.81,-2.85,-7.22,-7.22,-36.2,1269,FAIL,graded n=1269 >= 500 but ROI -2.85% <= 0%
h2h,all-lines (full OOS),1360,59.85,-2.98,-7.21,-7.21,-40.5,1269,FAIL,graded n=1360 >= 500 but ROI -2.98% <= 0%
h2h,board SELECT half,749,59.95,-2.06,-8.02,-8.02,-15.4,749,FAIL,graded n=749 >= 500 but ROI -2.06% <= 0%
h2h,board VERDICT half,520,59.62,-3.99,-11.06,-11.06,-20.8,520,FAIL,graded n=520 >= 500 but ROI -3.99% <= 0%
batter_runs_scored,"base (every candidate, flat)",53348,36.99,-12.32,-13.29,-13.68,-6574.8,2954,FAIL,graded n=53348 >= 500 but ROI -12.32% <= 0%
batter_runs_scored,price-only (full OOS),480,60.42,2.57,-4.71,-4.63,12.3,301,FAIL,graded n=480 < 500 and ROI CI lower bound -4.71% <= 0%
batter_runs_scored,board (full OOS),5296,61.35,1.39,-0.81,-1.27,73.7,1169,PASS,graded n=5296 >= 500 and ROI 1.39% > 0%
batter_runs_scored,all-lines (full OOS),5533,61.38,1.44,-0.72,-1.13,79.4,1169,PASS,graded n=5533 >= 500 and ROI 1.44% > 0%
batter_runs_scored,board SELECT half,3052,61.44,2.34,-0.59,-0.9,71.5,704,PASS,graded n=3052 >= 500 and ROI 2.34% > 0%
batter_runs_scored,board VERDICT half,2244,61.23,0.1,-3.19,-3.69,2.1,466,PASS,graded n=2244 >= 500 and ROI 0.10% > 0%
pitcher_outs,"base (every candidate, flat)",9821,50.64,-4.02,-5.86,-6.18,-395.3,4383,FAIL,graded n=9821 >= 500 but ROI -4.02% <= 0%
pitcher_outs,price-only (full OOS),364,59.34,-2.29,-10.45,-10.39,-8.3,338,FAIL,graded n=364 < 500 and ROI CI lower bound -10.45% <= 0%
pitcher_outs,board (full OOS),1165,60.69,1.66,-3.04,-3.26,19.4,1042,PASS,graded n=1165 >= 500 and ROI 1.66% > 0%
pitcher_outs,all-lines (full OOS),1192,60.91,2.16,-2.52,-2.72,25.8,1042,PASS,graded n=1192 >= 500 and ROI 2.16% > 0%
pitcher_outs,board SELECT half,703,60.31,1.28,-4.92,-5.12,9.0,619,PASS,graded n=703 >= 500 and ROI 1.28% > 0%
pitcher_outs,board VERDICT half,462,61.26,2.25,-4.93,-5.42,10.4,423,FAIL,graded n=462 < 500 and ROI CI lower bound -4.93% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),574,61.15,0.0,-6.35,-6.45,0.0,324,PASS,graded n=574 >= 500 and ROI 0.00% > 0%
batter_strikeouts,board (full OOS),1338,65.32,7.47,3.14,3.1,99.9,700,PASS,graded n=1338 >= 500 and ROI 7.47% > 0%
batter_strikeouts,all-lines (full OOS),1372,65.31,7.43,3.29,3.08,101.9,700,PASS,graded n=1372 >= 500 and ROI 7.43% > 0%
batter_strikeouts,board SELECT half,828,65.94,8.51,3.19,2.97,70.5,403,PASS,graded n=828 >= 500 and ROI 8.51% > 0%
batter_strikeouts,board VERDICT half,510,64.31,5.77,-1.06,-0.94,29.4,297,PASS,graded n=510 >= 500 and ROI 5.77% > 0%
